"year","month","mw_00001","mw_00002","mw_00003"
1987,10,17.311160087,13.56552219,9.257699966
1987,11,54.574341293,45.354963785,38.504705187
1987,12,141.424345974,136.345108985,130.067997933
1988,1,228.935314175,214.525428751,242.315785883
1988,2,250.632166855,206.749531269,164.960321886
1988,3,203.632772915,204.297874454,235.611927989
1988,4,63.133417126,67.62779546,31.7132225
1988,5,9.353999615,0,5.419153213
1988,6,0,0,0
1988,7,5.116027355,0,0
1988,8,0,0,0
1988,9,0,0,0
1988,10,28.613875866,29.411842346,23.7166338
1988,11,48.629642519,38.387077511,34.891019966
1988,12,115.274547576,108.286604287,100.343517303
1989,1,367.762577528,319.138008812,403.516689754
1989,2,280.473500734,265.199221609,243.614847167
1989,3,294.17209913,266.631960855,269.414340014
1989,4,40.29114532,35.71750259,17.712581158
1989,5,10.419622421,0,6.317936659
1989,6,0,0,0
1989,7,5.630667686,0,0
1989,8,0,0,0
1989,9,0,0,0
1989,10,6.714113235,6.392671108,0
1989,11,168.620148662,134.564631462,153.487067715
1989,12,226.25403214,205.636092655,217.160131452
1990,1,313.020152573,284.820353734,253.160418263
1990,2,172.096988447,175.22482824,182.858166935
1990,3,96.162026409,84.605638738,91.175157494
1990,4,101.13704111,66.27888489,46.30436516
1990,5,29.716750146,9.960182904,17.440315248
1990,6,0,0,0
1990,7,5.423166751,0,0
1990,8,0,0,0
1990,9,0,0,0
1990,10,6.528812409,6.803234339,8.831136703
1990,11,101.799090859,80.139063837,84.003592493
1990,12,130.874714837,115.343019718,114.583062163
1991,1,289.307311531,265.361685279,249.853162516
1991,2,186.917262547,191.548496246,194.184443715
1991,3,117.628658533,102.403518207,84.986667635
1991,4,43.28326416,43.55656528,38.18258095
1991,5,8.757374763,0,5.312677383
1991,6,0,0,0
1991,7,6.779971123,0,0
1991,8,0,0,0
1991,9,0,0,0
1991,10,15.397161245,9.419460297,5.728531242
1991,11,106.07553386,102.297792916,79.72301388
1991,12,174.963813552,218.370351779,182.373909951
1992,1,175.63374997,160.975533965,156.438472746
1992,2,59.037884234,54.926386839,62.875172606
1992,3,153.910240645,118.673457145,196.517874725
1992,4,34.476554389,28.52201653,18.75085449
1992,5,8.688479424,0,6.109432697
1992,6,0,0,0
1992,7,5.370851039,0,0
1992,8,0,0,0
1992,9,0,0,0
1992,10,0,0,0
1992,11,117.271446941,90.914339058,85.281404015
1992,12,226.232329134,196.935947897,180.898461823
1993,1,181.004439352,196.237005234,187.47947551
1993,2,373.766713127,290.214408737,279.552224758
1993,3,235.692264582,213.930221552,231.722721107
1993,4,77.584783314,59.011854163,38.745406387
1993,5,6.902122557,0,0
1993,6,5.055938482,0,0
1993,7,5.469402313,0,0
1993,8,0,0,0
1993,9,0,0,0
1993,10,13.231070518,10.25565338,7.86687088
1993,11,104.238557342,95.119985579,63.589375732
1993,12,136.618790144,151.906067371,126.117116216
1994,1,354.829188327,323.302360545,379.619996078
1994,2,104.70356846,121.573131096,126.042159546
1994,3,59.667605398,50.548316482,42.14926338
1994,4,18.915926937,26.396065234,19.8687706
1994,5,6.438190699,0,0
1994,6,0,0,0
1994,7,5.86514163,0,0
1994,8,0,0,0
1994,9,0,0,0
1994,10,24.028729436,18.39220357,15.403245453
1994,11,42.74519348,45.920397768,36.162973884
1994,12,153.280639638,152.778931625,151.461583141
1995,1,219.465442657,219.161140427,207.161220545
1995,2,144.949354178,145.938920023,159.618026031
1995,3,79.782719611,58.337866306,33.28320885
1995,4,27.29718399,21.92791748,15.48738956
1995,5,6.554864645,0,0
1995,6,0,0,0
1995,7,5.669927717,0,0
1995,8,0,0,0
1995,9,0,0,0
1995,10,6.399336338,9.181659698,5.780742168
1995,11,42.692407131,33.75344253,22.293290616
1995,12,170.004889727,170.841817392,150.581816903
1996,1,184.843152516,204.824392083,223.251437658
1996,2,355.813624388,309.656337251,319.939056411
1996,3,188.822975149,179.829720495,205.880065946
1996,4,36.394518853,33.95883179,22.50136566
1996,5,15.912974357,0,10.209929943
1996,6,0,0,0
1996,7,5.734097242,0,0
1996,8,0,0,0
1996,9,0,0,0
1996,10,11.02152348,7.107824325,6.30723834
1996,11,50.593981742,44.650704384,28.977549554
1996,12,237.936983584,269.032858143,265.432068345
1997,1,230.652572398,218.967205303,231.021369682
1997,2,245.413888932,239.613726646,279.802977104
1997,3,122.996512896,66.698441026,71.03123522
1997,4,151.6182251,113.931131368,95.294055939
1997,5,6.481110573,0,0
1997,6,0,0,0
1997,7,6.734802723,0,0
1997,8,0,0,0
1997,9,0,2.272739827,0
1997,10,26.353769777,18.729363914,13.30370903
1997,11,118.87373924,121.090548998,109.669870862
1997,12,252.849656832,234.537311784,219.415450823
1998,1,245.723739869,240.309918415,259.059416766
1998,2,151.110856048,136.147000312,122.417450428
1998,3,163.823436509,135.173589468,126.300159461
1998,4,50.362355224,50.48044491,48.748546586
1998,5,7.152180672,0,0
1998,6,0,0,0
1998,7,5.721419096,0,0
1998,8,0,0,0
1998,9,0,0,0
1998,10,12.9234314,17.92377162,9.385450363
1998,11,81.655313499,84.67511463,68.482315066
1998,12,177.091039909,175.330421678,173.575857158
1999,1,270.082173855,287.75690434,263.200280183
1999,2,244.734845182,213.834759958,235.814832451
1999,3,279.767782183,227.634105197,263.056189065
1999,4,63.01249695,67.52711295,43.58331489
1999,5,7.522601485,0,0
1999,6,0,0,0
1999,7,7.476330519,0,0
1999,8,0,0,0
1999,9,0,0,0
1999,10,11.15279007,8.044207573,0
1999,11,108.80198574,102.30049611,90.727409369
1999,12,87.054252384,100.803686616,108.413063506
2000,1,190.099612731,206.305382011,213.342381472
2000,2,239.713419218,198.219014627,206.995533938
2000,3,187.892376891,150.945215707,153.116178757
2000,4,65.92908859,53.72730255,35.84076691
2000,5,5.267700672,0,0
2000,6,0,0,0
2000,7,0,0,0
2000,8,0,0,0
2000,9,0,0,0
2000,10,28.379545212,15.24819851,14.857275066
2000,11,112.808661707,94.451872582,83.390579231
2000,12,184.54732036,156.152166125,143.876582862
2001,1,229.407963749,238.486932982,266.550337327
2001,2,287.568002694,236.624870764,227.174077974
2001,3,237.592767727,195.049170009,173.268548482
2001,4,36.55863857,33.80589771,19.781147
2001,5,5.604407191,0,0
2001,6,0,0,0
2001,7,0,0,0
2001,8,0,0,0
2001,9,0,0,0
2001,10,10.790341616,7.93493557,7.051437378
2001,11,80.798966173,75.554169888,62.570014948
2001,12,267.934242704,208.394036271,202.894092578
2002,1,290.190711482,270.227814184,269.438825121
2002,2,260.908985607,197.704870712,213.386582841
2002,3,102.134389888,107.633795973,100.130414012
2002,4,31.591863634,26.959878921,18.984417915
2002,5,0,0,0
2002,6,0,0,0
2002,7,0,0,0
2002,8,0,0,0
2002,9,0,0,1.181906462
2002,10,9.155175447,6.331640959,5.087044597
2002,11,42.961323736,42.635894296,36.344206818
2002,12,224.268246181,212.329229363,209.921684265
2003,1,316.249210603,295.030905732,295.682505122
2003,2,277.031734962,242.707195299,255.997385758
2003,3,246.176397791,235.876508236,259.322573672
2003,4,39.513390548,36.417223463,30.01215648
2003,5,6.742426157,0,0
2003,6,0,0,0
2003,7,0,0,0
2003,8,0,0,0
2003,9,0,0,0
2003,10,8.310220718,7.440903426,6.446879267
2003,11,43.136040215,37.99775696,30.197915315
2003,12,178.955622679,201.83242512,215.463936833
2004,1,255.243587959,199.983598248,191.700088262
2004,2,177.408472992,175.587527278,172.584741591
2004,3,169.20484732,152.213927258,112.002520086
2004,4,140.3687916,108.347004895,61.35378265
2004,5,5.586497783,0,0
2004,6,0,0,0
2004,7,0,0,0
2004,8,0,0,0
2004,9,0,0,0
2004,10,17.501609802,15.1912632,9.924547195
2004,11,107.410372249,94.669080261,83.530403381
2004,12,291.44234968,278.679170137,303.131177525
2005,1,189.494876841,204.337249745,183.933696271
2005,2,162.658386938,143.01591779,156.297331805
2005,3,51.672522074,54.967923157,51.433008192
2005,4,35.032737735,22.463624954,14.399093627
2005,5,6.949604511,0,0
2005,6,0,0,0
2005,7,5.365745067,0,0
2005,8,0,0,0
2005,9,0,0,0
2005,10,0,5.354150057,3.826613903
2005,11,63.899204976,72.745342246,67.626358272
2005,12,181.820939308,155.187300682,160.957378855
2006,1,259.847763555,219.27456307,192.973309041
2006,2,215.321384921,150.414878601,148.722930902
2006,3,301.781652681,226.539654253,241.542232484
2006,4,53.06171513,49.675423146,35.731612209
2006,5,5.21208024,0,1.745840669
2006,6,0,0,0
2006,7,0,0,0
2006,8,0,0,0
2006,9,0,0,0
2006,10,11.263755798,8.573053122,6.940395356
2006,11,132.68006324,128.098647111,110.364669796
2006,12,193.860244757,205.827250472,214.533156626
2007,1,323.030192382,323.102942223,342.87686254
2007,2,210.516227719,226.736672398,220.577039721
2007,3,116.573704967,126.279075613,96.697024815
2007,4,35.007620576,32.03498077,16.581356048
2007,5,5.0544343,0,0
2007,6,0,0,0
2007,7,5.441989183,0,0
2007,8,0,0,0
2007,9,0,0,0
2007,10,14.963798999,13.348391533,10.223558902
2007,11,62.012234214,66.571677687,40.406370878
2007,12,295.985300056,267.869419819,255.12082433
2008,1,334.708003526,296.697366948,300.712590706
2008,2,146.137932776,143.796546939,136.921297536
2008,3,105.437389849,100.074089038,77.855484473
2008,4,31.894711495,32.02739954,15.519567966
2008,5,5.323178053,0,0
2008,6,6.294157744,0,0
2008,7,0,0,0
2008,8,0,0,0
2008,9,0,0,0
2008,10,6.436014175,3.762799025,0
2008,11,31.968743501,28.98588258,23.804927827
2008,12,71.978243351,115.566907883,90.580645085
2009,1,238.165092932,186.787975077,205.38595248
2009,2,170.491722096,134.874588958,134.184803242
2009,3,227.500453483,216.990805146,208.516404625
2009,4,43.37197114,36.4392662,36.872390744
2009,5,7.003257036,0,0
2009,6,0,0,0
2009,7,0,0,0
2009,8,0,0,0
2009,9,0,0,0
2009,10,8.69385767,6.054972172,5.519083023
2009,11,141.073574056,136.7303362,134.034338729
2009,12,322.755602841,312.500709064,271.868249405
2010,1,189.580777183,176.019453046,186.429185879
2010,2,387.950407975,388.146516797,385.129735455
2010,3,167.20233202,169.408580785,151.085566519
2010,4,43.20359039,41.94475555,20.281010629
2010,5,6.029455423,0,0
2010,6,0,0,0
2010,7,5.098062158,0,0
2010,8,0,0,0
2010,9,0,0,0
2010,10,5.010240555,0,0
2010,11,90.446507933,66.630592334,51.980246788
2010,12,223.724066962,242.376430967,224.126407159
