origin,NMA-EIAR,
longitude,42.01128,41.91213
latitude,9.604448,9.626314
ext_id,EDACaP150102,EDACaP150101
municipality,Dire Dawa,Dire Dawa
name,Dire Dawa,Dire Dawa/Town
