origin,PDAC,,,
longitude,12.84383173,12.54952939,12.36433623,12.24288753
latitude,-4.591095551,-4.810970695,-5.456266541,-5.044905377
ext_id,AO_00087,AO_00029,AO_00102,AO_00049
municipality,Belize,Buco Zau,Cabinda,Landana
name,Mikonje,Buco Zau,Tando Zinze,Kakongo
