origin,PDAC,,
longitude,13.85342054,13.86268105,14.25926487
latitude,-8.528344948,-9.152861347,-8.04764379
ext_id,AO_00083,AO_00033,AO_00091
municipality,Dande,Icolo e Bengo,Nambuangongo
name,Mabubas,Calomboloca,Muxiluando
