"year","month","gt_00001","gt_00002","gt_00003","gt_00004","gt_00005","gt_00006","gt_00007","gt_00008","gt_00009"
1982,1,23.2263831354839,22.8162800458065,26.7796894693548,24.2967468258064,23.8921280403226,20.8744731287097,24.4538493493548,20.0611914858065,23.2263831354839
1982,2,23.6245819096429,23.3196350096429,27.4317565917857,24.7826455253571,24.4966696596429,21.1828519553571,24.95055651,20.2588189260714,23.6245819096429
1982,3,25.8457629793548,25.649444383871,29.4836295825806,27.1262904016129,26.7235952080645,23.3060852041935,27.2975609564516,22.4060489770968,25.8457629793548
1982,4,27.95961202,27.7688873286667,31.1894795736667,29.279259237,28.718491618,25.417355347,29.4921010336667,24.6398386636667,27.95961202
1982,5,26.5213355283871,26.5343734245161,29.7819280806452,28.0744804135484,27.5097142380645,24.2349428245161,27.9776510912903,23.5835047567742,26.5213355283871
1982,6,25.0230906173333,24.8962758376667,27.629931641,26.4696807866667,25.523794556,23.00900472,26.3609018963333,22.5238382973333,25.0230906173333
1982,7,23.8287617341935,23.2657882196774,26.6254900532258,24.8668338893548,24.6805181677419,22.0317941980645,25.0362044796774,21.7086524219355,23.8287617341935
1982,8,23.9192099287097,23.2394485970968,26.9373048854839,24.8621499335484,25.1007393132258,22.189982556129,25.03828755,21.9959685287097,23.9192099287097
1982,9,23.2535034186667,22.341147868,25.252716064,23.958228555,23.2581746413333,21.5337788896667,24.292081706,21.3526743573333,23.2535034186667
1982,10,22.3182026529032,21.2359754987097,24.0188527754839,22.824680253871,21.7567215448387,20.5320245564516,23.3136141867742,20.2513977054839,22.3182026529032
1982,11,21.878146362,20.9585510256667,24.520963542,22.5082295733333,22.00769755,19.93938497,22.8945627843333,19.4870320646667,21.878146362
1982,12,22.0687716570968,21.4516983532258,25.3098260693548,22.9614295219355,22.5562023532258,19.931515403871,23.165375543871,19.2818404658065,22.0687716570968
1983,1,22.3591257409677,22.0087701616129,25.8246300474194,23.4844781687097,22.8836599045161,20.0555132477419,23.5604354367742,19.2222110864516,22.3591257409677
1983,2,24.5382171632143,24.5428111485714,28.1477393025,26.0130314417857,25.2526914321429,22.0456067764286,25.8917469564286,21.1426679339286,24.5382171632143
1983,3,26.9599636932258,27.1709494312903,30.0678236435484,28.6567636796774,27.3404578422581,24.3582318706452,28.4453664487097,23.4839239312903,26.9599636932258
1983,4,27.3581990563333,27.7811655686667,30.587946574,29.2916086826667,28.0833241776667,24.8494344073333,28.8725474043333,24.0580342603333,27.3581990563333
1983,5,27.7906147612903,27.959624063871,31.1682875109677,29.508132246129,28.9736040667742,25.4335344858065,29.2852111822581,24.8114031396774,27.7906147612903
1983,6,26.18118693,26.1134531643333,28.5453023276667,27.694028727,26.490361532,24.1026041653333,27.5539245603333,23.64417216,26.18118693
1983,7,24.0127925751613,23.4257022977419,26.6089672451613,25.0276900758065,24.6630650677419,22.20558393,25.2257914880645,21.8866880358065,24.0127925751613
1983,8,24.31157837,23.7447931112903,26.9262004241935,25.3704694193548,25.0890117025807,22.5604974567742,25.4424849970968,22.3755402596774,24.31157837
1983,9,24.1203847246667,23.8365692146667,26.8243255606667,25.4624684653333,24.9176747646667,22.3523803706667,25.1851104736667,22.1912923186667,24.1203847246667
1983,10,22.773466836129,21.754408116129,25.1394572587097,23.3461734883871,22.9399914167742,20.9619345387097,23.7826093125807,20.6918175487097,22.773466836129
1983,11,23.3052510576667,22.6774505616667,25.822502645,24.2372599283333,23.3820220943333,21.2870096836667,24.364711508,20.8676086433333,23.3052510576667
1983,12,22.6152834006452,22.2311862093548,25.972273106129,23.7455117503226,23.2556957612903,20.4475873393548,23.7283707158064,19.8105269903226,22.6152834006452
1984,1,21.2144113848387,21.0139296012903,25.2825364635484,22.4837683887097,22.311249566129,18.9745530648387,22.3811968396774,18.1148236674194,21.2144113848387
1984,2,22.8215197331035,22.9082433227586,27.1232775448276,24.3687262175862,24.171264857931,20.424483937931,24.12445826,19.4808278044828,22.8215197331035
1984,3,26.0127709170968,26.2472414070968,29.7659319480645,27.7279710335484,27.0260391722581,23.4662060158065,27.4709244267742,22.5708606351613,26.0127709170968
1984,4,28.4312388106667,28.8588511153333,31.7895385733333,30.376657105,29.3602752693333,25.86775411,29.9776774093333,25.1051177976667,28.4312388106667
1984,5,25.8910136554839,26.2049460132258,28.5820468045161,27.7444869503226,26.2524343183871,23.6460057416129,27.32644043,22.9863486009677,25.8910136554839
1984,6,24.5799092613333,24.4216501873333,26.8622202553333,25.993626914,24.721776327,22.5963134756667,25.901475016,22.1075317383333,24.5799092613333
1984,7,23.8313094603226,23.5518452309677,26.4874295151613,25.1555419922581,24.5397061258065,22.0378317548387,25.0357171829032,21.7201427829032,23.8313094603226
1984,8,23.6774496751613,23.0229844609677,26.0756371283871,24.6447653496774,24.1913085929032,21.9624385719355,24.7866681506452,21.7653501454839,23.6774496751613
1984,9,23.399625651,22.7599009193333,25.1484059653333,24.379067994,23.1435414626667,21.6692667646667,24.4413024896667,21.490712484,23.399625651
1984,10,23.1432611283871,22.1236767180645,25.2601336080645,23.7165584441935,23.0589627164516,21.30589127,24.163971736129,21.0401235267742,23.1432611283871
1984,11,21.2594787603333,20.4584798166667,24.2891682946667,22.0038635256667,21.7534901933333,19.3490570063333,22.259085083,18.8760630286667,21.2594787603333
1984,12,21.0197190803226,20.4117173716129,24.5025573732258,21.9139540148387,21.6952748935484,18.9351341987097,22.08758033,18.2546453654839,21.0197190803226
