"measure","month","gt_00001","gt_00002","gt_00003","gt_00004","gt_00005","gt_00006","gt_00007","gt_00008","gt_00009"
"t_max","1","22.0194017888503","21.6992731264103","25.9456123294872","23.1731557589826","23.0114049213482","19.7347109506476","23.2104669436062","18.8935661775367","22.0194017888503"
"t_max","2","23.8723859744227","23.7900617525211","27.9560317390113","25.2558192558662","25.050348667381","21.4168483300066","25.2061372620478","20.4982598258132","23.8723859744227"
"t_max","3","25.6804497629362","25.7682655453349","29.64650684555","27.2459043391646","26.8966978264103","23.1505959737386","27.1275999310256","22.2469611964186","25.6804497629362"
"t_max","4","27.1912563488374","27.2823706211113","30.7617498154362","28.7901330149315","28.2689354268203","24.6930833083761","28.7004986362395","23.8988517826409","27.1912563488374"
"t_max","5","26.5817050020762","26.661950633168","29.8567612968318","28.2031614040613","27.5912202770969","24.293559998387","28.0393579373197","23.6451412532093","26.5817050020762"
"t_max","6","25.297961086812","25.1949348383846","27.8876953907438","26.7704489943505","25.7981870733762","23.2700574303077","26.6433252840085","22.7929325201111","25.297961086812"
"t_max","7","24.4993753665095","24.0912307019852","27.2948401212572","25.6973893412572","25.3885724265674","22.6659943511497","25.7262507410669","22.3597168827957","24.4993753665095"
"t_max","8","24.6579493721587","24.0880490236146","27.3022848452936","25.7158425809264","25.4862388744665","22.8877719271381","25.7986486090241","22.7114550923242","24.6579493721587"
"t_max","9","24.2516901522907","23.4956108419744","26.2819442097092","25.1194002592222","24.3438088180342","22.4757340912991","25.3200379461966","22.317464401453","24.2516901522907"
"t_max","10","22.9343365261042","21.9532211519107","24.9944597647891","23.5458844585359","22.7847150753847","21.1125021860629","23.9484381715219","20.8450232115467","22.9343365261042"
"t_max","11","21.9272443200855","21.0091679761196","24.6542027399999","22.5587989219743","22.1459642459829","19.9841802874957","22.945617023641","19.5313322410598","21.9272443200855"
"t_max","12","21.8038959662944","21.1956063471712","25.2078366264433","22.7034760202811","22.4463256685774","19.679914102488","22.893252646799","19.0224326716022","21.8038959662944"
"t_min","1","12.3754028925782","12.6808053975757","13.4660034734583","12.9815771314053","12.2172353084632","11.5577103607073","12.8105899933805","11.7593892213673","12.3754028925782"
"t_min","2","12.701491450359","13.1229653747448","14.0409021586307","13.3425557442519","12.6610374554815","11.8629640885023","13.1510623590377","12.0498972611709","12.701491450359"
"t_min","3","13.2199430682332","13.765967412871","14.9076437420505","13.9628256570827","13.4152196490057","12.3846530760297","13.7068562018313","12.5557137690455","13.2199430682332"
"t_min","4","14.7218280760145","15.0920054639393","16.4791653624068","15.3727420122872","14.8740917499042","13.8744013859282","15.2430690929735","14.0548015365837","14.7218280760145"
"t_min","5","15.6590720355914","15.9775126394458","17.4736924139123","16.3792256672456","15.8531026962779","14.8366895147559","16.2236213325889","15.0210105118693","15.6590720355914"
"t_min","6","16.0492000481709","16.2562562600341","17.5640659169573","16.787063337829","16.0326966116239","15.2704893455299","16.6492228712478","15.4596116807863","16.0492000481709"
"t_min","7","15.7749569979487","15.8898895794126","17.1736968211581","16.5272092657154","15.7803360680645","15.0475294543507","16.3931385780976","15.2396493211084","15.7749569979487"
"t_min","8","15.7754748877998","15.7156902960794","17.0033946753515","16.4569378091977","15.7151101844582","15.0554914880397","16.3724352664516","15.2718094465674","15.7754748877998"
"t_min","9","15.7194500002991","15.494484691094","16.676244569376","16.2886487131368","15.4620892647094","14.9756149943589","16.2686785054102","15.2197448730939","15.7194500002991"
"t_min","10","15.0772734156584","14.7812425334409","15.8665921220926","15.5293096021009","14.7061077512315","14.3077159392787","15.5752265421092","14.56451083321","15.0772734156584"
"t_min","11","13.8561476748932","13.7015411898555","14.6353913658469","14.3137685661436","13.5064030052376","13.0735207844666","14.3165256337906","13.3188489341855","13.8561476748932"
"t_min","12","12.9361280013159","13.0173401232175","13.8083348479098","13.4717908836485","12.6434762402828","12.1330356190554","13.3722513785309","12.3596890913805","12.9361280013159"
"prec","1","10.5909631640769","12.1945710090513","4.299907106","13.2223796555897","8.37835848335897","6.52640042797436","10.0228223401026","24.2992931758718","6.46528698853846"
"prec","2","8.74164699197436","12.3537664223077","8.94923656207692","11.2343830343846","7.06267748333333","3.63977514830769","8.21792978566667","11.6278122805897","5.88813066033333"
"prec","3","17.8850115617692","20.1478460284103","17.3562511168718","17.8907151927949","14.0654498450513","6.75113921989744","17.1342920485641","15.8725141771795","13.7363940139744"
"prec","4","37.7709168808462","37.3059452618564","50.5420112675897","37.9652314982308","45.6750626054615","34.3365489618462","37.2344474725897","40.157488031282","32.2553940591795"
"prec","5","122.758860659282","116.353656707641","127.594125493487","122.825437866564","129.715424363692","113.181820412538","128.502644973103","130.989107143846","117.150338732385"
"prec","6","209.451160930103","201.899606012897","212.676433600949","191.042161738744","200.708423456333","204.095062431256","203.215413873462","249.224273937513","198.37904512959"
"prec","7","133.027610898949","132.760316248667","128.991026044026","119.062417677872","127.825357003462","151.816735702795","122.064685850026","190.115578396487","127.529199841231"
"prec","8","142.870793325333","131.251298643487","139.502895602359","134.807438617333","140.769271872769","185.535831565744","139.221525181077","195.356879302667","140.174224889923"
"prec","9","202.309314214051","191.645141429769","210.963388331103","194.945338882231","209.605609454282","236.347504953846","195.080770226949","235.378704337949","214.101635068513"
"prec","10","130.324205720744","144.061888932103","113.791867810692","137.181995404897","126.773208372846","124.880988568641","144.590032211641","160.836888143513","127.994367125436"
"prec","11","44.9587454595897","45.3159355650513","34.883807804282","45.8725622895897","42.0557400783333","36.5284006849487","46.4625904502308","65.7583853611538","37.0748329736923"
"prec","12","13.2418486855641","11.3399093534872","11.9958256125128","11.9932265344615","13.254169339","11.0819887129231","14.4633810007949","21.9264453062564","9.60437176861539"
"sol_rad","1","16.7905506162118","16.402130420182","17.651402445823","16.3341210107527","17.1692430570719","16.5757133081059","16.5589714119106","15.8154447731596","16.7905506162118"
"sol_rad","2","19.4465069778008","18.9670829500126","20.0014623002085","18.9195287984401","19.5684355251989","19.2558016913604","19.2191407158647","18.7525367898193","19.4465069778008"
"sol_rad","3","21.8954939842845","21.4862878775848","22.186131592225","21.485853980149","21.8500630628619","21.71200372622","21.7003655062035","21.4445485971877","21.8954939842845"
"sol_rad","4","23.2100937837606","22.8138696051282","22.9911463367521","22.8825420341881","22.7954466324786","23.0049388017093","23.0749644299146","22.8538862641026","23.2100937837606"
"sol_rad","5","22.0312935516956","21.7522853887511","21.6637291459884","21.9007993511167","21.6236421943755","21.7542883291977","21.9856812762614","21.4485454909016","22.0312935516956"
"sol_rad","6","20.5366834217949","20.2884270307692","20.5264736478632","20.4877882000001","20.5660681538462","20.2104072410256","20.5493254923077","19.7472493833333","20.5366834217949"
"sol_rad","7","21.0783530281225","20.7101506377171","21.4070631588089","20.8964277551696","21.3890966956163","20.7954271952026","21.0628525707196","20.4529152473118","21.0783530281225"
"sol_rad","8","21.003068433416","20.6391360868487","21.0706360239867","20.7761014631926","20.9483736277916","20.7726294656741","20.9299031257237","20.4910870690653","21.003068433416"
"sol_rad","9","19.0816123324787","18.7875660688034","18.9719127730769","18.8677181739316","18.7457134064103","18.8610928935897","18.9631482935898","18.4098174961539","19.0816123324787"
"sol_rad","10","17.0045043283705","16.7685908643507","17.3104784032257","16.7872269896609","16.9661878304384","16.7831216956162","16.8414620086849","16.1212546548801","17.0045043283705"
"sol_rad","11","15.84872255","15.534830767094","16.5901623042735","15.499396768376","16.1440055042735","15.6309274367521","15.6435317209401","14.8376719446581","15.84872255"
"sol_rad","12","15.9021241381307","15.5121185231597","16.7257963424317","15.4437470649297","16.2288513420183","15.6905739685691","15.6692007005789","14.8774742919769","15.9021241381307"
