origin,NMA-EIAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longitude,40.4437,41.63492,41.51274,40.34168,41.10289,41.7296,40.9312,40.92599,39.95967,40.92964,40.43007,41.5063,40.07821,40.40322,39.94401,40.01803,40.40392,39.89072,40.02349,40.46273,40.07621,40.76995,40.46444,40.06342,39.97366,40.39491,40.00001,40.23078,40.29991,40.2815,40.1516,40.37888,36.78528,36.9107,36.77658,36.89383,37.02359,36.50043,36.40503,39.98182,37.3934,37.66981,38.07547,38.2357,38.06918,37.766,38.43151,37.78096,38.36834,38.55937,37.92503,39.6133,39.49133,38.69194,39.52587,39.25985,39.8362,38.99761,39.46217,39.15499,39.28499,38.64168,38.92966,38.77942,39.22295,39.69071,38.67753,39.45256,39.89158,37.32463,37.04772,36.81823,37.60824,37.35416,37.27274,37.15835,37.43812,37.20567,36.95031,36.80006,37.55701,37.87362,37.9974,37.71459,37.74958,37.99164,37.32136,38.17557,38.21622,38.39277,38.17438,38.16603,37.63592,37.59442,37.90345,37.52188,37.78082,38.3711,39.45734,39.77713,39.80197,39.61744,39.52785,39.68513,39.88011,38.89617,39.59836,39.37871,39.90669,39.63526,39.36759,39.50979,39.64503,38.97056,39.00853,39.49472,39.52848,39.14873,39.20081,39.82136,40.01434,40.05758,39.84948,40.0531,40.04654,37.97877,36.73306,38.48092,36.90539,37.69637,37.8351,37.26341,38.18257,37.55437,38.19929,37.3646,36.43518,36.46145,35.85851,37.07356,36.77216,37.05398,38.4099,37.77769,37.83582,38.69928,38.83629,39.21762,39.31581,39.49617,39.76658,39.64305,39.01253,38.82084,39.0088,38.88911,38.67204,39.05714,38.49989,39.06029,38.70947,34.47046,34.71094,35.10211,34.56979,34.44751,34.29368,34.85833,34.80861,35.6462,36.20201,35.90533,35.20134,36.13115,35.95154,36.02587,36.21541,35.45015,36.2823,36.41941,35.55238,42.01128,41.91213,34.53756,34.67208,34.74971,33.98228,34.29304,34.22324,33.74619,35.25848,35.08439,33.2769,33.66655,33.94989,33.32795,42.17253,40.16717,40.08559,40.04661,39.97455,39.22962,39.55811,39.3471,40.2131,39.92556,39.26517,39.46036,39.67385,39.26644,39.41681,39.87868,38.98168,39.78598,40.34451,39.56662,39.50687,39.80779,39.50658,39.1152,38.94113,39.77427,40.18411,40.81141,39.77566,40.15595,40.70768,39.92148,40.60496,40.50731,40.56881,39.53448,41.3242,40.03531,40.03893,41.43882,41.50709,40.13088,38.03291,39.02468,38.22212,38.83616,37.86704,38.21218,38.27249,37.98821,38.58014,38.77191,39.16409,37.32923,38.2035,38.61609,37.70285,38.24368,38.16036,37.88606,38.3184,38.57655,38.48762,38.30576,38.68255,38.39876,38.07113,37.90024,38.96176,38.50299,38.76537,38.61714,39.22034,39.37788,38.48371,38.47509,39.59212,38.80992,38.99995,38.54848,39.24985,37.5165,37.33721,36.86144,37.01184,37.4199,37.13014,37.1324,37.14118,37.33508,35.51896,35.7677,36.39075,35.68741,35.5357,36.67333,35.13569,36.12384,36.11844,36.24688,35.37062,36.56638,36.10823,35.56338,35.77362,36.48907,35.34538,35.7833,35.98444,35.41489,35.18231,35.95204,37.25278,36.92728,36.22209,36.57987,36.44151,37.00208,36.95705,36.95202,36.74997,37.22385,36.65712,37.50926,36.23527,36.51858,36.00197,37.26285,34.5225,35.18299,35.06727,34.92242,34.40867,34.98355,34.71892,35.32411,34.82146,34.84873,39.52741,38.70061,39.15416,39.15957,38.82286,38.81305,38.93637,39.20869,38.40329,38.59037,38.18258,40.20713,41.00707,40.80403,40.49498,41.0903,40.99436,40.52098,40.52691,40.70469,40.99739,41.18725,40.56383,41.14995,37.98685,38.43716,37.83451,37.15104,37.37978,37.29248,38.12327,38.37025,37.76991,37.92648,37.9997,37.47187,38.23669,37.59198,37.44368,37.63263,37.69583,38.54067,35.28247,35.08154,34.54683,35.48084,35.64711,35.58771,35.89857,34.76526,35.3282,35.84276,35.71108,35.29036,35.27169,35.66183,35.0071,35.46299,35.58972,35.80186,35.44489,42.56042,41.63271,42.63279,41.42159,42.1511,41.86926,41.56261,41.34701,42.45904,41.99707,42.32658,41.80568,42.17878,41.86201,41.3458,41.59542,41.85187,42.13798,39.03035,39.26773,38.63751,38.846,38.95395,39.56302,38.77756,39.88093,39.19613,38.89997,39.15514,36.92167,37.03857,36.32279,36.63924,36.96322,36.59604,36.2477,36.43814,36.54015,36.80977,36.45739,36.44396,36.71896,36.39726,36.8036,36.89569,36.67182,39.20827,39.1454,38.99028,38.84814,38.62111,38.63094,38.75264,38.53961,39.04779,39.24235,38.32257,38.62512,38.81434,38.22553,38.91922,38.65293,42.4976,43.56066,41.66807,42.19283,41.22675,41.22361,42.30879,42.03517,42.51301,47.04194,45.94964,46.38976,45.53429,43.0286,42.78429,42.64064,43.69385,42.89139,43.17489,44.03343,43.49948,42.96431,44.80979,44.2488,44.26719,44.10341,44.16374,45.10526,41.37405,40.8816,40.11735,39.97684,42.57248,42.36458,42.95718,42.34357,41.99346,42.23322,42.68411,42.00165,43.20109,43.28089,42.58566,45.23073,43.53281,44.17724,44.76249,41.22828,42.36832,42.461,41.4927,41.01543,41.93102,38.21231,37.16087,37.81942,36.55888,35.22651,35.50817,35.16867,35.68937,35.8774,35.70644,35.63612,35.74282,35.45475,35.28117,37.78445,36.88148,37.3244,37.16783,37.1383,36.96604,36.50443,36.6594,36.07579,36.64114,35.96518,36.49135,36.8709,36.15533,37.39258,37.54658,36.8095,37.27341,37.65142,37.5649,37.28249,37.00075,37.44461,36.79346,37.13623,37.36422,36.67517,37.73467,36.86134,37.0721,38.37205,38.33851,38.18533,38.28263,38.27324,38.21229,37.60643,37.81596,37.86517,37.75588,38.0379,37.96214,38.0594,37.89979,38.18922,38.52796,38.39203,38.09341,38.55006,37.97924,37.66004,37.61667,37.6571,37.84784,37.82877,37.76185,38.00911,38.02632,37.54161,35.66814,35.86892,36.3603,36.16525,35.69655,35.98094,36.21985,36.55187,35.80155,36.45413,37.85844,37.95702,37.80428,37.65044,37.7684,37.94341,37.4844,37.39405,36.60388,35.34305,35.46849,35.45957,38.43521,38.70297,38.98198,38.47331,38.34077,38.83981,38.70672,38.23083,38.58773,39.02614,38.30109,38.39301,38.38939,38.59527,38.56253,38.15099,38.63861,38.45003,38.60295,38.50533,38.17102,38.26893,38.37989,37.92915,38.01922,38.16467,38.32381,38.12772,37.54885,37.71363,37.88391,37.85891,37.6575,37.95763,38.04718,37.82539,37.35078,37.51374,37.54125,37.73186,37.48676,39.42182,39.51277,39.45099,39.55513,39.57959,39.38117,39.74354,39.17377,38.92463,39.12392,39.22526,38.91457,38.75484,38.75539,38.68539,38.5851,38.89282,39.09122,36.94017,37.05643,37.39545,39.75904,39.6763,39.38329,39.4071,39.3855,39.5187,39.63229,37.9944,38.19828,38.44539,37.78967,38.28583,38.14343
latitude,11.315659,11.245263,11.546698,11.650499,11.683414,12.313837,12.537056,11.291285,13.339392,13.387169,13.839481,13.004549,14.233859,13.160895,13.902929,13.022925,9.525948,9.504936,9.104274,10.283901,9.514656,10.496162,12.137371,11.889879,12.175699,12.624643,12.568706,10.590907,10.79167,10.318253,9.91744,11.075274,10.758311,10.966285,11.226502,11.07909,10.823963,10.778232,11.711692,10.931234,11.586025,11.607426,11.494702,12.189162,11.840918,11.882614,11.846207,12.146591,11.333405,11.559841,11.382578,10.814687,11.500283,10.7457,11.060506,10.403768,11.063175,10.544078,11.275545,10.849606,10.703985,10.930939,11.242301,11.064916,11.22217,11.313844,10.53388,10.696082,11.430172,11.857673,10.538696,11.473912,10.850177,10.521222,10.697863,11.332443,10.97097,10.99451,11.703086,10.486365,11.242122,10.179095,10.212089,10.021847,10.836522,10.539225,10.231754,10.199019,10.684029,10.864378,10.50098,10.982269,11.076768,10.23492,10.980674,10.477598,10.516058,10.346552,9.453994,9.558081,10.597753,9.337766,9.732344,9.18179,10.312852,9.825987,10.577336,9.188963,9.978748,10.357154,10.179763,10.125369,10.103235,10.048545,10.243882,8.915396,9.924796,9.942213,9.784523,9.860257,10.523311,11.16457,10.764976,10.762139,10.245125,13.384578,11.932613,13.251776,12.596061,13.042904,13.202809,12.402917,12.535461,12.426315,13.012795,12.776495,12.74831,13.237687,12.215012,13.03385,12.222588,13.293713,13.456147,12.774372,12.490854,12.161695,11.471447,11.6138,12.070816,11.794691,11.662744,12.103778,12.052718,11.819998,11.659007,13.074922,12.438573,12.317391,12.931409,12.65169,12.810707,9.974885,9.778179,10.117536,10.30377,10.551826,9.351456,10.323384,10.671036,9.796619,9.362779,9.467708,10.526979,9.976607,10.524616,11.359653,10.445052,11.486554,11.01485,11.302048,10.597452,9.604448,9.626314,7.855182,7.034427,8.144676,8.117717,7.609557,8.340928,7.890353,7.242406,7.427647,7.956697,8.294756,8.356605,8.308984,9.28966,7.896502,8.524013,7.632394,8.115384,7.730529,8.045931,8.293383,8.272411,8.322036,8.04413,7.413629,8.357977,7.414544,8.09247,8.558995,7.534748,7.682451,7.730603,7.561055,8.320127,8.002512,7.769487,7.887462,7.966021,7.316983,6.693449,6.651064,7.065121,7.368415,7.114037,6.859588,7.547911,6.945049,6.284865,6.413737,7.782215,5.770306,6.26917,6.840651,7.245402,7.115921,6.389366,4.643296,5.647807,4.205343,4.049213,4.15617,5.331376,6.043266,5.437718,3.820427,3.826794,4.747422,4.913532,8.809438,8.555676,8.644116,8.78472,8.424473,8.823345,8.630173,8.488556,8.419476,8.462481,8.615986,8.54959,8.657696,5.976113,6.235942,6.176025,6.356058,6.150188,5.466094,5.923165,5.76566,5.1078,5.760888,5.412743,6.060002,5.87622,9.814842,9.717995,9.593901,10.132946,9.440026,9.662854,9.897482,9.404746,9.243563,8.141656,8.581696,8.460264,8.142049,8.406297,8.313635,8.303128,8.369853,8.925875,8.721741,8.591729,8.099272,8.593663,7.961133,8.452772,8.289246,8.156089,8.242129,8.749165,8.331871,7.877313,8.294201,8.325014,7.413403,7.696019,7.867826,7.94683,7.767603,8.053311,8.481242,7.789864,7.538454,7.650579,8.106468,8.061943,7.506117,7.953607,7.972029,8.588837,8.880615,8.899805,9.106234,8.885262,8.599272,8.984832,8.848222,8.451107,8.775211,6.990452,7.479542,6.890002,7.171158,7.02292,6.796465,7.23039,6.586934,7.332849,7.201735,7.124082,8.739161,8.40304,9.063631,8.472801,9.302453,8.883371,8.923802,8.750363,8.124051,8.678423,8.982534,9.17793,9.183517,9.670113,9.416982,9.068024,9.084094,9.019415,8.743506,8.967091,9.066114,9.649019,9.186814,9.321516,8.730885,9.459373,9.202863,8.518796,8.802889,8.943718,9.06061,9.105342,9.41927,9.336001,9.261076,9.391267,9.022635,9.145281,9.387058,9.190609,8.962201,9.062628,9.40943,9.73175,9.183062,9.740347,9.547608,8.814554,8.788838,8.95443,8.739117,9.035116,9.600654,9.258534,9.026174,8.9823,8.398875,9.425778,9.309752,9.342535,9.542736,9.388791,9.505887,9.240754,8.906737,9.354875,8.223005,8.727589,8.748638,8.465352,7.831373,8.770962,8.319159,8.647411,8.180522,8.910821,8.998461,8.494328,8.598222,9.365692,8.89992,9.057616,9.898076,9.161364,9.280164,9.819553,10.06669,8.706737,10.05819,8.883333,9.698955,8.702872,9.212884,9.144623,8.795012,9.021838,9.624151,9.242806,9.122649,9.656801,9.80791,10.211902,9.777043,9.961924,9.442509,9.410198,9.743256,9.315662,9.301631,9.954112,9.572285,9.575928,5.180327,5.128347,5.318518,4.498271,5.899452,6.365813,5.484511,6.024748,6.125481,7.541607,7.821,6.68535,6.877655,9.76418,9.120856,9.233343,9.155058,9.36825,9.030583,8.502934,8.088637,8.131964,8.276288,7.886445,6.149844,6.889483,7.447182,6.126383,4.343922,5.083612,5.071795,4.214275,7.220685,8.071681,7.576899,7.645263,8.054762,8.438521,7.465688,7.517826,5.816139,6.721126,6.651207,5.491726,6.108091,5.736101,5.449907,10.20429,10.69587,9.927669,10.197687,9.640281,10.222788,7.411202,5.533918,5.791446,6.26412,6.331067,6.874999,6.89613,5.942814,6.785427,6.485975,7.066733,6.899546,7.078917,5.87667,5.484431,6.841212,7.155111,6.813454,7.038915,7.108859,5.884825,5.43564,4.678202,6.15884,5.243052,4.944275,5.754131,5.93619,5.645966,5.961504,6.178945,5.901601,6.517338,6.246743,6.270241,6.450183,6.27133,6.348022,5.996997,6.515756,6.514707,6.309664,6.046544,6.28522,6.234965,6.355767,6.041723,5.961343,6.289021,6.172651,8.302576,8.125322,7.82386,7.984704,8.127264,7.911108,7.968422,8.313376,8.301066,7.985296,8.116873,8.201137,8.279822,7.621494,7.332742,7.575326,7.728241,7.533635,7.14065,7.751513,7.162113,7.499752,7.427048,7.364159,7.240316,6.907041,6.840901,7.62889,7.551368,7.355166,7.2644,7.866483,7.098312,7.355816,7.35255,7.381157,7.222187,7.228762,7.243424,7.260695,5.352196,6.869123,7.551821,7.73008,7.250187,6.602914,6.682921,6.311384,7.020238,7.050888,6.528421,6.516498,6.89221,6.621277,6.477395,6.557722,6.752478,6.452313,6.841764,6.496223,6.646614,6.928829,6.873736,7.033506,6.732027,7.975487,7.761856,7.740464,7.755486,7.784579,7.528425,7.939354,7.739534,7.103003,7.065194,6.983229,7.041708,6.951517,6.82673,6.941752,6.669202,6.766806,6.920441,6.715079,6.827094,7.812017,12.945033,12.385983,12.753128,13.437366,13.134439,12.539614,12.663163,13.203695,14.174856,14.385617,13.621692,13.705003,14.09686,14.36774,13.841915,14.083459,13.402782,13.984863,14.047627,13.490463,13.756372,13.810721,14.490214,14.235746,14.405498,13.968787,13.752858,14.166226,13.957487,14.366997,14.008606,14.426691,14.096229,13.635414
ext_id,EDACaP0201051,EDACaP020104,EDACaP020103,EDACaP020106,EDACaP020101,EDACaP020102,EDACaP0201011,EDACaP020105,EDACaP020203,EDACaP020207,EDACaP020205,EDACaP0202071,EDACaP020206,EDACaP020201,EDACaP020202,EDACaP020204,EDACaP020301,EDACaP020306,EDACaP020302,EDACaP020305,EDACaP020304,EDACaP020303,EDACaP020401,EDACaP020402,EDACaP020405,EDACaP020403,EDACaP020404,EDACaP020504,EDACaP020503,EDACaP020505,EDACaP020502,EDACaP020501,EDACaP030903,EDACaP030902,EDACaP030901,EDACaP030905,EDACaP030907,EDACaP030904,EDACaP030906,EDACaP031201,EDACaP031101,EDACaP030209,EDACaP030208,EDACaP030201,EDACaP030204,EDACaP030203,EDACaP030205,EDACaP030202,EDACaP030207,EDACaP030206,EDACaP030211,EDACaP030408,EDACaP030404,EDACaP030412,EDACaP030409,EDACaP030414,EDACaP030407,EDACaP030413,EDACaP030403,EDACaP030410,EDACaP030420,EDACaP030419,EDACaP030401,EDACaP030411,EDACaP030402,EDACaP030405,EDACaP030416,EDACaP030415,EDACaP030406,EDACaP030702,EDACaP030710,EDACaP030713,EDACaP030707,EDACaP030708,EDACaP030709,EDACaP030704,EDACaP030706,EDACaP030705,EDACaP030701,EDACaP030711,EDACaP030703,EDACaP030617,EDACaP030612,EDACaP030611,EDACaP030601,EDACaP030607,EDACaP030608,EDACaP030613,EDACaP030605,EDACaP030604,EDACaP030606,EDACaP030603,EDACaP030618,EDACaP030610,EDACaP030602,EDACaP030609,EDACaP030616,EDACaP030614,EDACaP030513,EDACaP030515,EDACaP030507,EDACaP030514,EDACaP030519,EDACaP030517,EDACaP030508,EDACaP030503,EDACaP030506,EDACaP030516,EDACaP030512,EDACaP030505,EDACaP030521,EDACaP030522,EDACaP030509,EDACaP030502,EDACaP030501,EDACaP030518,EDACaP030511,EDACaP030504,EDACaP030523,EDACaP030510,EDACaP031004,EDACaP031002,EDACaP031001,EDACaP031005,EDACaP031003,EDACaP030101,EDACaP030115,EDACaP030102,EDACaP030112,EDACaP030105,EDACaP030104,EDACaP030111,EDACaP030117,EDACaP030110,EDACaP030103,EDACaP030108,EDACaP030113,EDACaP030106,EDACaP030114,EDACaP030120,EDACaP030121,EDACaP030107,EDACaP030119,EDACaP030109,EDACaP030116,EDACaP030301,EDACaP030311,EDACaP030306,EDACaP030303,EDACaP030307,EDACaP030308,EDACaP030302,EDACaP030310,EDACaP030304,EDACaP030305,EDACaP030805,EDACaP030803,EDACaP030804,EDACaP030806,EDACaP030802,EDACaP030801,EDACaP060303,EDACaP060305,EDACaP060306,EDACaP060307,EDACaP060302,EDACaP060308,EDACaP060301,EDACaP060304,EDACaP060404,EDACaP060405,EDACaP060403,EDACaP060402,EDACaP060401,EDACaP060207,EDACaP060201,EDACaP060205,EDACaP060202,EDACaP060204,EDACaP060206,EDACaP060203,EDACaP150102,EDACaP150101,EDACaP120201,EDACaP120205,EDACaP120202,EDACaP120200,EDACaP120203,EDACaP120207,EDACaP120204,EDACaP120301,EDACaP120308,EDACaP120101,EDACaP120103,EDACaP120102,EDACaP120104,EDACaP130101,EDACaP040810,EDACaP040802,EDACaP040823,EDACaP040809,EDACaP040815,EDACaP040822,EDACaP040805,EDACaP040803,EDACaP040819,EDACaP040807,EDACaP040824,EDACaP040804,EDACaP040818,EDACaP040821,EDACaP040801,EDACaP040817,EDACaP040812,EDACaP040811,EDACaP040814,EDACaP040820,EDACaP040808,EDACaP040813,EDACaP040816,EDACaP040806,EDACaP041104,EDACaP041114,EDACaP041121,EDACaP041122,EDACaP041106,EDACaP041108,EDACaP041110,EDACaP041105,EDACaP041116,EDACaP041115,EDACaP041111,EDACaP041107,EDACaP041113,EDACaP041112,EDACaP041117,EDACaP041118,EDACaP041109,EDACaP041213,EDACaP041208,EDACaP041206,EDACaP041220,EDACaP041219,EDACaP041211,EDACaP041215,EDACaP041217,EDACaP041218,EDACaP041216,EDACaP041210,EDACaP041212,EDACaP041207,EDACaP041306,EDACaP041301,EDACaP041309,EDACaP041304,EDACaP041312,EDACaP041305,EDACaP041307,EDACaP041313,EDACaP041310,EDACaP041314,EDACaP041308,EDACaP041303,EDACaP041302,EDACaP041403,EDACaP041408,EDACaP041411,EDACaP041402,EDACaP041410,EDACaP041413,EDACaP041409,EDACaP041406,EDACaP041407,EDACaP041405,EDACaP041412,EDACaP041401,EDACaP041404,EDACaP041904,EDACaP041905,EDACaP041910,EDACaP041909,EDACaP041903,EDACaP041901,EDACaP041908,EDACaP041906,EDACaP041907,EDACaP040311,EDACaP040302,EDACaP040322,EDACaP040314,EDACaP040315,EDACaP040307,EDACaP040312,EDACaP040303,EDACaP040323,EDACaP040305,EDACaP040301,EDACaP040308,EDACaP040304,EDACaP040317,EDACaP040324,EDACaP040306,EDACaP040319,EDACaP040316,EDACaP040318,EDACaP040310,EDACaP040313,EDACaP040309,EDACaP040415,EDACaP040410,EDACaP040408,EDACaP040407,EDACaP040416,EDACaP040405,EDACaP040402,EDACaP040401,EDACaP040406,EDACaP040411,EDACaP040409,EDACaP040403,EDACaP040413,EDACaP040414,EDACaP040412,EDACaP040404,EDACaP041807,EDACaP041808,EDACaP041803,EDACaP041804,EDACaP041809,EDACaP041801,EDACaP041810,EDACaP041811,EDACaP041805,EDACaP041802,EDACaP041710,EDACaP041703,EDACaP041707,EDACaP041706,EDACaP041704,EDACaP041708,EDACaP041705,EDACaP041709,EDACaP041702,EDACaP041712,EDACaP041701,EDACaP040906,EDACaP040910,EDACaP040913,EDACaP040909,EDACaP040902,EDACaP040912,EDACaP040907,EDACaP040908,EDACaP040915,EDACaP040911,EDACaP040904,EDACaP040901,EDACaP040903,EDACaP040516,EDACaP040513,EDACaP040503,EDACaP040506,EDACaP040505,EDACaP040507,EDACaP040510,EDACaP040511,EDACaP040501,EDACaP040519,EDACaP040502,EDACaP040518,EDACaP040514,EDACaP040504,EDACaP040508,EDACaP040509,EDACaP040517,EDACaP040512,EDACaP040107,EDACaP040111,EDACaP040116,EDACaP040110,EDACaP040106,EDACaP040113,EDACaP040103,EDACaP040109,EDACaP040119,EDACaP040114,EDACaP040117,EDACaP040108,EDACaP040105,EDACaP040104,EDACaP040101,EDACaP040102,EDACaP040115,EDACaP040118,EDACaP040112,EDACaP041004,EDACaP041013,EDACaP041015,EDACaP041011,EDACaP041005,EDACaP041016,EDACaP041017,EDACaP041010,EDACaP041003,EDACaP041006,EDACaP041002,EDACaP041008,EDACaP041001,EDACaP041007,EDACaP041012,EDACaP041009,EDACaP041018,EDACaP041014,EDACaP040706,EDACaP040703,EDACaP040708,EDACaP040712,EDACaP040710,EDACaP040702,EDACaP040707,EDACaP040701,EDACaP040705,EDACaP040711,EDACaP040704,EDACaP040207,EDACaP040205,EDACaP040210,EDACaP040203,EDACaP040208,EDACaP040213,EDACaP040204,EDACaP040202,EDACaP040214,EDACaP040217,EDACaP040212,EDACaP040201,EDACaP040215,EDACaP040211,EDACaP040209,EDACaP040216,EDACaP040206,EDACaP040609,EDACaP040617,EDACaP040611,EDACaP040607,EDACaP040605,EDACaP040602,EDACaP040606,EDACaP040603,EDACaP040615,EDACaP040610,EDACaP040604,EDACaP040616,EDACaP040612,EDACaP040601,EDACaP040608,EDACaP040614,EDACaP050806,EDACaP050807,EDACaP050802,EDACaP050808,EDACaP050803,EDACaP050801,EDACaP0508061,EDACaP050804,EDACaP050805,EDACaP050702,EDACaP050701,EDACaP050703,EDACaP050704,EDACaP050205,EDACaP050201,EDACaP050202,EDACaP050207,EDACaP050204,EDACaP050206,EDACaP050303,EDACaP050302,EDACaP050301,EDACaP050304,EDACaP050305,EDACaP050504,EDACaP050502,EDACaP050501,EDACaP050503,EDACaP050902,EDACaP050901,EDACaP050904,EDACaP050903,EDACaP050406,EDACaP050402,EDACaP050403,EDACaP050404,EDACaP050407,EDACaP050408,EDACaP050405,EDACaP050401,EDACaP050602,EDACaP050603,EDACaP050601,EDACaP050607,EDACaP050604,EDACaP050605,EDACaP050606,EDACaP050106,EDACaP050101,EDACaP050102,EDACaP050104,EDACaP050107,EDACaP050103,EDACaP072101,EDACaP071301,EDACaP071302,EDACaP071801,EDACaP071108,EDACaP071103,EDACaP071102,EDACaP071107,EDACaP071105,EDACaP071106,EDACaP071110,EDACaP071104,EDACaP071101,EDACaP071109,EDACaP071303,EDACaP071705,EDACaP071704,EDACaP071703,EDACaP071702,EDACaP071701,EDACaP070702,EDACaP070705,EDACaP070706,EDACaP070703,EDACaP070708,EDACaP070704,EDACaP070707,EDACaP070701,EDACaP071304,EDACaP071016,EDACaP071015,EDACaP071013,EDACaP071004,EDACaP071007,EDACaP071009,EDACaP071002,EDACaP071008,EDACaP071017,EDACaP071012,EDACaP071003,EDACaP071001,EDACaP071005,EDACaP071011,EDACaP071010,EDACaP070504,EDACaP070505,EDACaP070503,EDACaP070506,EDACaP070501,EDACaP070502,EDACaP070102,EDACaP070110,EDACaP070108,EDACaP070111,EDACaP070103,EDACaP070113,EDACaP070109,EDACaP070101,EDACaP070104,EDACaP070107,EDACaP070106,EDACaP070112,EDACaP070105,EDACaP070208,EDACaP070207,EDACaP070210,EDACaP070202,EDACaP070203,EDACaP070209,EDACaP070201,EDACaP070205,EDACaP070204,EDACaP070206,EDACaP070910,EDACaP070909,EDACaP070907,EDACaP070908,EDACaP070902,EDACaP070903,EDACaP070904,EDACaP070905,EDACaP070901,EDACaP070906,EDACaP070302,EDACaP070307,EDACaP070306,EDACaP070305,EDACaP070304,EDACaP070303,EDACaP070301,EDACaP071305,EDACaP071901,EDACaP070802,EDACaP070801,EDACaP070803,EDACaP070405,EDACaP070403,EDACaP070409,EDACaP070419,EDACaP070402,EDACaP070408,EDACaP070418,EDACaP070410,EDACaP070416,EDACaP070415,EDACaP070417,EDACaP070404,EDACaP070406,EDACaP070411,EDACaP070407,EDACaP070414,EDACaP070412,EDACaP070401,EDACaP070420,EDACaP070413,EDACaP072001,EDACaP072005,EDACaP072003,EDACaP072004,EDACaP072007,EDACaP072006,EDACaP072002,EDACaP072008,EDACaP070608,EDACaP070601,EDACaP070602,EDACaP070611,EDACaP070609,EDACaP070603,EDACaP070612,EDACaP070604,EDACaP070610,EDACaP070606,EDACaP070607,EDACaP070605,EDACaP071201,EDACaP010404,EDACaP010407,EDACaP010405,EDACaP010402,EDACaP010403,EDACaP010408,EDACaP010406,EDACaP010401,EDACaP010204,EDACaP010202,EDACaP010209,EDACaP010208,EDACaP010205,EDACaP010201,EDACaP010207,EDACaP010206,EDACaP010210,EDACaP010203,EDACaP010501,EDACaP010503,EDACaP010502,EDACaP010307,EDACaP010302,EDACaP010304,EDACaP010301,EDACaP010305,EDACaP010306,EDACaP010303,EDACaP010105,EDACaP010102,EDACaP010103,EDACaP010101,EDACaP010104,EDACaP010106
