origin,PDAC,,,,,,,
longitude,16.46329971,17.25434181,16.57220236,17.22566854,18.4508764,16.80648504,17.01953378,17.15772491
latitude,-11.27465895,-12.14793925,-12.56296103,-13.47613757,-11.81258397,-11.98824561,-12.53905341,-11.30860298
ext_id,AO_00051,AO_00060,AO_00078,AO_00100,AO_00081,AO_00077,AO_00075,AO_00047
municipality,Andulo,Catabola,Chinguar,Chitembo,Cuemba,Cunhinga,Kuito,Nharea
name,Kalucinga,Katabola,Kutato,Soma Kwanza,Luando,Kunhinga,Kuito,Kaiei
