origin,NMA-EIAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longitude,40.16717,40.08559,40.04661,39.97455,39.22962,39.55811,39.3471,40.2131,39.92556,39.26517,39.46036,39.67385,39.26644,39.41681,39.87868,38.98168,39.78598,40.34451,39.56662,39.50687,39.80779,39.50658,39.1152,38.94113,39.77427,40.18411,40.81141,39.77566,40.15595,40.70768,39.92148,40.60496,40.50731,40.56881,39.53448,41.3242,40.03531,40.03893,41.43882,41.50709,40.13088,38.03291,39.02468,38.22212,38.83616,37.86704,38.21218,38.27249,37.98821,38.58014,38.77191,39.16409,37.32923,38.2035,38.61609,37.70285,38.24368,38.16036,37.88606,38.3184,38.57655,38.48762,38.30576,38.68255,38.39876,38.07113,37.90024,38.96176,38.50299,38.76537,38.61714,39.22034,39.37788,38.48371,38.47509,39.59212,38.80992,38.99995,38.54848,39.24985,37.5165,37.33721,36.86144,37.01184,37.4199,37.13014,37.1324,37.14118,37.33508,35.51896,35.7677,36.39075,35.68741,35.5357,36.67333,35.13569,36.12384,36.11844,36.24688,35.37062,36.56638,36.10823,35.56338,35.77362,36.48907,35.34538,35.7833,35.98444,35.41489,35.18231,35.95204,37.25278,36.92728,36.22209,36.57987,36.44151,37.00208,36.95705,36.95202,36.74997,37.22385,36.65712,37.50926,36.23527,36.51858,36.00197,37.26285,34.5225,35.18299,35.06727,34.92242,34.40867,34.98355,34.71892,35.32411,34.82146,34.84873,39.52741,38.70061,39.15416,39.15957,38.82286,38.81305,38.93637,39.20869,38.40329,38.59037,38.18258,40.20713,41.00707,40.80403,40.49498,41.0903,40.99436,40.52098,40.52691,40.70469,40.99739,41.18725,40.56383,41.14995,37.98685,38.43716,37.83451,37.15104,37.37978,37.29248,38.12327,38.37025,37.76991,37.92648,37.9997,37.47187,38.23669,37.59198,37.44368,37.63263,37.69583,38.54067,35.28247,35.08154,34.54683,35.48084,35.64711,35.58771,35.89857,34.76526,35.3282,35.84276,35.71108,35.29036,35.27169,35.66183,35.0071,35.46299,35.58972,35.80186,35.44489,42.56042,41.63271,42.63279,41.42159,42.1511,41.86926,41.56261,41.34701,42.45904,41.99707,42.32658,41.80568,42.17878,41.86201,41.3458,41.59542,41.85187,42.13798,39.03035,39.26773,38.63751,38.846,38.95395,39.56302,38.77756,39.88093,39.19613,38.89997,39.15514,36.92167,37.03857,36.32279,36.63924,36.96322,36.59604,36.2477,36.43814,36.54015,36.80977,36.45739,36.44396,36.71896,36.39726,36.8036,36.89569,36.67182,39.20827,39.1454,38.99028,38.84814,38.62111,38.63094,38.75264,38.53961,39.04779,39.24235,38.32257,38.62512,38.81434,38.22553,38.91922,38.65293
latitude,7.896502,8.524013,7.632394,8.115384,7.730529,8.045931,8.293383,8.272411,8.322036,8.04413,7.413629,8.357977,7.414544,8.09247,8.558995,7.534748,7.682451,7.730603,7.561055,8.320127,8.002512,7.769487,7.887462,7.966021,7.316983,6.693449,6.651064,7.065121,7.368415,7.114037,6.859588,7.547911,6.945049,6.284865,6.413737,7.782215,5.770306,6.26917,6.840651,7.245402,7.115921,6.389366,4.643296,5.647807,4.205343,4.049213,4.15617,5.331376,6.043266,5.437718,3.820427,3.826794,4.747422,4.913532,8.809438,8.555676,8.644116,8.78472,8.424473,8.823345,8.630173,8.488556,8.419476,8.462481,8.615986,8.54959,8.657696,5.976113,6.235942,6.176025,6.356058,6.150188,5.466094,5.923165,5.76566,5.1078,5.760888,5.412743,6.060002,5.87622,9.814842,9.717995,9.593901,10.132946,9.440026,9.662854,9.897482,9.404746,9.243563,8.141656,8.581696,8.460264,8.142049,8.406297,8.313635,8.303128,8.369853,8.925875,8.721741,8.591729,8.099272,8.593663,7.961133,8.452772,8.289246,8.156089,8.242129,8.749165,8.331871,7.877313,8.294201,8.325014,7.413403,7.696019,7.867826,7.94683,7.767603,8.053311,8.481242,7.789864,7.538454,7.650579,8.106468,8.061943,7.506117,7.953607,7.972029,8.588837,8.880615,8.899805,9.106234,8.885262,8.599272,8.984832,8.848222,8.451107,8.775211,6.990452,7.479542,6.890002,7.171158,7.02292,6.796465,7.23039,6.586934,7.332849,7.201735,7.124082,8.739161,8.40304,9.063631,8.472801,9.302453,8.883371,8.923802,8.750363,8.124051,8.678423,8.982534,9.17793,9.183517,9.670113,9.416982,9.068024,9.084094,9.019415,8.743506,8.967091,9.066114,9.649019,9.186814,9.321516,8.730885,9.459373,9.202863,8.518796,8.802889,8.943718,9.06061,9.105342,9.41927,9.336001,9.261076,9.391267,9.022635,9.145281,9.387058,9.190609,8.962201,9.062628,9.40943,9.73175,9.183062,9.740347,9.547608,8.814554,8.788838,8.95443,8.739117,9.035116,9.600654,9.258534,9.026174,8.9823,8.398875,9.425778,9.309752,9.342535,9.542736,9.388791,9.505887,9.240754,8.906737,9.354875,8.223005,8.727589,8.748638,8.465352,7.831373,8.770962,8.319159,8.647411,8.180522,8.910821,8.998461,8.494328,8.598222,9.365692,8.89992,9.057616,9.898076,9.161364,9.280164,9.819553,10.06669,8.706737,10.05819,8.883333,9.698955,8.702872,9.212884,9.144623,8.795012,9.021838,9.624151,9.242806,9.122649,9.656801,9.80791,10.211902,9.777043,9.961924,9.442509,9.410198,9.743256,9.315662,9.301631,9.954112,9.572285,9.575928
ext_id,EDACaP040810,EDACaP040802,EDACaP040823,EDACaP040809,EDACaP040815,EDACaP040822,EDACaP040805,EDACaP040803,EDACaP040819,EDACaP040807,EDACaP040824,EDACaP040804,EDACaP040818,EDACaP040821,EDACaP040801,EDACaP040817,EDACaP040812,EDACaP040811,EDACaP040814,EDACaP040820,EDACaP040808,EDACaP040813,EDACaP040816,EDACaP040806,EDACaP041104,EDACaP041114,EDACaP041121,EDACaP041122,EDACaP041106,EDACaP041108,EDACaP041110,EDACaP041105,EDACaP041116,EDACaP041115,EDACaP041111,EDACaP041107,EDACaP041113,EDACaP041112,EDACaP041117,EDACaP041118,EDACaP041109,EDACaP041213,EDACaP041208,EDACaP041206,EDACaP041220,EDACaP041219,EDACaP041211,EDACaP041215,EDACaP041217,EDACaP041218,EDACaP041216,EDACaP041210,EDACaP041212,EDACaP041207,EDACaP041306,EDACaP041301,EDACaP041309,EDACaP041304,EDACaP041312,EDACaP041305,EDACaP041307,EDACaP041313,EDACaP041310,EDACaP041314,EDACaP041308,EDACaP041303,EDACaP041302,EDACaP041403,EDACaP041408,EDACaP041411,EDACaP041402,EDACaP041410,EDACaP041413,EDACaP041409,EDACaP041406,EDACaP041407,EDACaP041405,EDACaP041412,EDACaP041401,EDACaP041404,EDACaP041904,EDACaP041905,EDACaP041910,EDACaP041909,EDACaP041903,EDACaP041901,EDACaP041908,EDACaP041906,EDACaP041907,EDACaP040311,EDACaP040302,EDACaP040322,EDACaP040314,EDACaP040315,EDACaP040307,EDACaP040312,EDACaP040303,EDACaP040323,EDACaP040305,EDACaP040301,EDACaP040308,EDACaP040304,EDACaP040317,EDACaP040324,EDACaP040306,EDACaP040319,EDACaP040316,EDACaP040318,EDACaP040310,EDACaP040313,EDACaP040309,EDACaP040415,EDACaP040410,EDACaP040408,EDACaP040407,EDACaP040416,EDACaP040405,EDACaP040402,EDACaP040401,EDACaP040406,EDACaP040411,EDACaP040409,EDACaP040403,EDACaP040413,EDACaP040414,EDACaP040412,EDACaP040404,EDACaP041807,EDACaP041808,EDACaP041803,EDACaP041804,EDACaP041809,EDACaP041801,EDACaP041810,EDACaP041811,EDACaP041805,EDACaP041802,EDACaP041710,EDACaP041703,EDACaP041707,EDACaP041706,EDACaP041704,EDACaP041708,EDACaP041705,EDACaP041709,EDACaP041702,EDACaP041712,EDACaP041701,EDACaP040906,EDACaP040910,EDACaP040913,EDACaP040909,EDACaP040902,EDACaP040912,EDACaP040907,EDACaP040908,EDACaP040915,EDACaP040911,EDACaP040904,EDACaP040901,EDACaP040903,EDACaP040516,EDACaP040513,EDACaP040503,EDACaP040506,EDACaP040505,EDACaP040507,EDACaP040510,EDACaP040511,EDACaP040501,EDACaP040519,EDACaP040502,EDACaP040518,EDACaP040514,EDACaP040504,EDACaP040508,EDACaP040509,EDACaP040517,EDACaP040512,EDACaP040107,EDACaP040111,EDACaP040116,EDACaP040110,EDACaP040106,EDACaP040113,EDACaP040103,EDACaP040109,EDACaP040119,EDACaP040114,EDACaP040117,EDACaP040108,EDACaP040105,EDACaP040104,EDACaP040101,EDACaP040102,EDACaP040115,EDACaP040118,EDACaP040112,EDACaP041004,EDACaP041013,EDACaP041015,EDACaP041011,EDACaP041005,EDACaP041016,EDACaP041017,EDACaP041010,EDACaP041003,EDACaP041006,EDACaP041002,EDACaP041008,EDACaP041001,EDACaP041007,EDACaP041012,EDACaP041009,EDACaP041018,EDACaP041014,EDACaP040706,EDACaP040703,EDACaP040708,EDACaP040712,EDACaP040710,EDACaP040702,EDACaP040707,EDACaP040701,EDACaP040705,EDACaP040711,EDACaP040704,EDACaP040207,EDACaP040205,EDACaP040210,EDACaP040203,EDACaP040208,EDACaP040213,EDACaP040204,EDACaP040202,EDACaP040214,EDACaP040217,EDACaP040212,EDACaP040201,EDACaP040215,EDACaP040211,EDACaP040209,EDACaP040216,EDACaP040206,EDACaP040609,EDACaP040617,EDACaP040611,EDACaP040607,EDACaP040605,EDACaP040602,EDACaP040606,EDACaP040603,EDACaP040615,EDACaP040610,EDACaP040604,EDACaP040616,EDACaP040612,EDACaP040601,EDACaP040608,EDACaP040614
municipality,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Arsi,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Bale,Borena,Borena,Borena,Borena,Borena,Borena,Borena,Borena,Borena,Borena,Borena,Borena,Borena,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Debub Mirab Shewa,Guji,Guji,Guji,Guji,Guji,Guji,Guji,Guji,Guji,Guji,Guji,Guji,Guji,Horo Guduru,Horo Guduru,Horo Guduru,Horo Guduru,Horo Guduru,Horo Guduru,Horo Guduru,Horo Guduru,Horo Guduru,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Ilubabor,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Jimma,Kelem Wellega,Kelem Wellega,Kelem Wellega,Kelem Wellega,Kelem Wellega,Kelem Wellega,Kelem Wellega,Kelem Wellega,Kelem Wellega,Kelem Wellega,Mirab Arsi,Mirab Arsi,Mirab Arsi,Mirab Arsi,Mirab Arsi,Mirab Arsi,Mirab Arsi,Mirab Arsi,Mirab Arsi,Mirab Arsi,Mirab Arsi,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Hararghe,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Shewa,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Mirab Welega,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Harerge,Misraq Shewa,Misraq Shewa,Misraq Shewa,Misraq Shewa,Misraq Shewa,Misraq Shewa,Misraq Shewa,Misraq Shewa,Misraq Shewa,Misraq Shewa,Misraq Shewa,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,Misraq Wellega,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa,North Shewa
name,Amigna,Aseko,Bele Gesgar,Chole,Degeluna Tijo,Diksis,Dodota,Gololcha Arsi,Guna,Hitosa,Inkolo Wabe,Jeju,Limu Bilbilo,Lude Hitosa,Merti,Munessa,Robe,Seru,Shirka,Sire,Sude,Tena,Tiyo,Ziway Dugda,Agarfa,Berbere,Dawe Kachen,Dinsho,Gasera,Ginir,Goba,Gololcha Bale,Goro,Gura Damole,Harena Buluk,Lege Hida,Meda Welabu,Mena,Rayitu,Seweyna,Sinana,Abaya,Arero,Bule Hora,Dehas,Dillo,Dire,Dugda Dawa,Gelana,Melka Soda,Miyo,Moyale,Teltele,Yabelo,Alem Gena,Ameya,Becho,Dawo,Goro,Ilu,Kersana Malima,Kondaltiti,Seden Sodo,Sodo Daci,Tole,Waliso,Wenchi,Adola,Afele Kola,Ana Sora,Bore,Girja (Harenfema),Goro Dola,Hambela Wamena,Kercha,Liben,Odo Shakiso,Saba Boru,Uraga,Wadera,Ababo,Abay Chomen,Abe Dongoro,Amuru,Guduru,Horo,Jarte Jardega,Jimma Genete,Jimma Rare,Ale,Alge Sachi,Badele Zuria,Becho,Bilo Nopha,Borecha,Bure,Chora,Chwaka,Dabo Hana,Darimu,Dedesa,Dega,Didu,Dorani,Gechi,Halu,Hurumu,Meko,Metu Zuria,Sale Nono,Yayu,Chora,Dedo,Gera,Goma,Gumay,Kersa,Limu Kosa,Limu Seka,Mena,Omo Nada,Seka Chekorsa,Sekoru,Setema,Shebe Sambo,Sigmo,Tiro Afeta,Anfilo,Dale Sadi,Dale Wabera,Gawo Kebe,Gidami,Hawa Galan,Jimma Horo,Lalo Kile,Sayo,Yama Logi Welel,Adaba,Arsi Negele,Dodola,Gedeb Asasa,Kofele,Kokosa,Kore,Nenesebo,Shalla,Shashemene Zuria,Siraro,Anchar,Boke,Chiro Zuria,Daro Lebu,Doba,Gemechis,Goba Koricha,Habro,Hawi Gudina,Kuni,Mesela,Mieso,Tulo,Abuna G/Beret,Adda Berga,Ambo Zuria,Bako Tibe,Cheliya,Dano,Dendi,Ejere,Ginde Beret,Ifata,Jeldu,Jibat,Meta Robi,Mida Kegn,Nono,Tikur Enchini,Toke Kutaye,Walmara,Ayira,Babo,Begi,Boji Chekorsa,Boji Dirmeji,Gaji,Gimbi,Gudetu Kondole,Guliso,Haru,Homa,Jarso,Kiltu Kara,Lalo Asabi,Mana Sibu,Nejo,Nole Kaba,Sayo Nole,Yubdo,Babile,Bedeno,Chinaksen,Deder,Fedis,Girawa,Golo Oda,Goro Gutu,Gursum,Haro Maya,Jarso,Kersa,Kombolcha,Kurfa Chele,Malka Balo,Meta,Meyu,Midega Tola,Ada'a,Adama,Adami Tulu Jido Kombolcha,Akaki,Bora,Boset,Dugda,Fentale,Gimbichu,Liben Chukala,Lome,Bila Seyo,Boneya Boshe,Diga,Gida Ayana,Gobu Seyo,Guto Gida,Haro Limu,Ibantu,Jimma Arjo,Kiremu,Leka Dulecha,Limu,Nunu Kumba,Sasiga,Sibu Sire,Wama Hagalo,Wayu Tuka,Abichuna Gne'a,Aleltu,Bereh,Debre Libanos,Degem,Dera,Gerar Jarso,Hidabu Abote,Jida,Kembibit,Kuyu,Mulo,Sululta,Wara Jarso,Wuchale,Yaya Gulele
