origin,PDAC,,,,,
longitude,13.11090572,14.78553481,14.27380603,13.9254662,13.80472536,14.73392087
latitude,-13.16935695,-12.36214294,-12.33751747,-13.10337038,-13.59674141,-13.12213196
ext_id,AO_00040,AO_00025,AO_00088,AO_00048,AO_00028,AO_00059
municipality,Baia Farta,Balombo,Bocoio,Caiambambo,Chongoroi,Ganda
name,Dombe Grande,Balombo,Monte Belo,Kaimbambo,Bolonguela,Kaseke
