"measure","month","AO_00055","AO_00053","AO_00024","AO_00070","AO_00051","AO_00040","AO_00015","AO_00025","AO_00045","AO_00087","AO_00026","AO_00001","AO_00088","AO_00104","AO_00029","AO_00030","AO_00031","AO_00032","AO_00050","AO_00102","AO_00019","AO_00092","AO_00048","AO_00062","AO_00020","AO_00009","AO_00054","AO_00076","AO_00046","AO_00010","AO_00060","AO_00056","AO_00036","AO_00021","AO_00078","AO_00022","AO_00100","AO_00028","AO_00074","AO_00073","AO_00005","AO_00081","AO_00079","AO_00077","AO_00039","AO_00083","AO_00064","AO_00011","AO_00017","AO_00037","AO_00059","AO_00035","AO_00034","AO_00014","AO_00042","AO_00033","AO_00043","AO_00044","AO_00075","AO_00109","AO_00049","AO_00052","AO_00002","AO_00080","AO_00061","AO_00041","AO_00082","AO_00058","AO_00085","AO_00027","AO_00086","AO_00067","AO_00090","AO_00084","AO_00105","AO_00089","AO_00016","AO_00066","AO_00091","AO_00072","AO_00047","AO_00063","AO_00057","AO_00093","AO_00110","AO_00012","AO_00065","AO_00071","AO_00069","AO_00094","AO_00099","AO_00095","AO_00096","AO_00098","AO_00106","AO_00101","AO_00068","AO_00097","AO_00038","AO_00103","AO_00107","AO_00108","AO_00013"
"t_max","1","27.7707961050568","25.4429106681695","24.8632467454597","29.7814147949035","25.7457987633062","30.278108190702","24.5511206595322","25.7619133733873","27.4781320880565","29.1095266034842","29.3028726639192","30.5501909317175","25.4796338482903","28.049497075258","30.5299239375403","28.167185605121","27.7745102174758","25.8467063905","25.2355628968468","28.9309693367822","25.878303084863","27.903635726379","29.209694671629","27.045161118129","26.5548948226935","26.4325643970323","27.4023643986935","28.889826645476","30.845360245347","23.9070647456532","25.530122228","29.3832197127822","27.8782464550968","28.171339908839","23.991068070879","26.088926746137","26.1345268495645","31.7912389202423","24.4561174701129","27.2325462095568","28.4364608027015","25.834015138758","30.6479084630887","23.6608851770887","26.1144623541695","32.9153764785483","28.305594364266","24.9766028866129","24.2507961888468","29.604728624895","26.4700861777018","29.5854445428148","28.6728541220322","24.2259316967984","22.8577315052339","34.4592163823305","27.0114307528468","23.9009675549838","24.4188479023467","26.0556137822823","29.1171527001935","26.043568912734","29.8116688390323","24.9409527932904","24.3117017684677","24.5517390097984","28.033177554266","28.1292448966533","27.758292561113","27.9895165966855","30.1539353156452","30.7499742816042","29.5655359330967","29.319144611855","25.7375202055","27.1375741283547","25.3132258262177","27.270340359758","29.1341676281048","25.1291434996775","25.5147481855888","32.2740196474758","30.5148706742903","26.7588096619195","30.3541325723467","26.2789844145728","26.6652639819678","27.5834424419192","30.4263943580402","29.5000676063307","26.479413186508","27.7426235076615","25.0520545468468","28.936346706274","26.5023806665242","28.5594885549358","32.0685259420085","23.8403516708871","25.0694664246775","28.419580078218","26.9699801538308","24.299287832992","24.9622228808548"
"t_max","2","28.3797927734483","25.9738681258765","25.5144840035505","30.337497795819","26.2267259719272","30.789239970855","24.9497256901706","26.558310240059","28.202072555163","29.520414446365","29.82413409943","30.9775482695232","26.2085855268602","28.668833485472","30.8853973970042","28.8027118637148","28.417688833078","26.5910974222377","25.370445154824","29.262720395488","25.8936165936382","28.78633428588","29.3099490076143","27.7691199927785","26.4478020653222","26.5478761249192","27.7967453990093","29.5373454400143","31.6268990305245","24.3878089293728","25.6580904542705","30.1351344789985","27.3188076075515","27.7224390661527","24.0588356837546","26.0269997442045","25.9850928564993","31.6629653582418","25.4130991387875","27.9316722560155","28.788703093568","26.0035261398365","31.20089102032","23.8010018569412","26.7528340562032","33.3599920968188","28.8648083362817","25.83726669571","24.5693308459187","28.601256563042","27.0588140741915","30.390283633473","29.4603562624057","24.5006070790074","22.5426898308501","34.9761083425425","26.2727363107952","24.0118381463423","24.4335559648504","25.841851279687","29.6500516675322","26.963820808897","30.3819628804703","25.5197045011275","24.5973798301333","24.5024883850665","28.834323201896","28.5496489474203","28.50761346597","28.6774766395792","30.7980091339755","31.6106514934955","28.3791209104088","29.996580869934","26.4288721423832","27.726017165485","25.6889460409055","27.9175969043753","29.6683612438335","25.7301810767523","25.841514448425","32.9996785394613","31.1418288536657","27.4730958036082","30.9745864662057","27.0022232421893","27.3540917101325","28.2435143929092","30.3965388866465","30.1938326126048","26.7569667074033","28.3010547628622","25.847930597166","29.5549151923615","27.3221714433295","29.0063622882317","32.3884106791435","24.00987980192","25.761936901918","27.406770578381","27.5145082257875","24.8475177397758","25.8020634984628"
"t_max","3","28.2157636335805","26.2398248244033","25.2111687445565","30.5028717042745","25.8843128573792","30.320737703435","24.8156671340323","26.9070609555565","28.194498000637","29.536562273613","30.0851093907497","30.3444190488305","26.4414766373065","28.7487001971853","31.0642352198305","28.9800041198147","28.3189631307663","27.0063397560648","25.0017901020968","29.6192065330888","25.5748137689678","28.5278530242987","28.6707647015325","27.6522158469193","26.0136052285645","26.1933057478307","27.3405712006372","28.9328261837177","31.2550127583305","24.4595418132097","25.183572806129","29.7006313447177","26.6077589711772","26.9650894166127","23.6216978748952","25.7392525457178","25.262407536734","30.7976146083225","25.8340385930323","27.6215914325485","28.4985444098788","25.7803599695967","30.8227584347423","23.3627572582984","27.2063665819035","32.81531893825","28.9167889749032","26.03093419225","24.3411253651935","27.7348798198385","27.353036400621","30.086389381782","29.3544582245403","24.2655174501533","22.2344026873549","34.1103654922743","25.8884790728627","23.6259065198226","23.7967550954999","25.4740179984678","30.0567513251613","27.1092956296697","30.135897261048","25.43406064425","24.4895701746694","24.3786036582984","28.7987501083553","28.0844844203952","28.0968400770325","29.0893528353465","30.4144333869355","31.2994170896207","27.5651241672177","29.877576815613","26.8531289624113","27.3710117217178","25.5153318344678","27.5586255474595","29.670972270557","26.054292543605","25.2954607808952","32.2983829129273","31.1778117027337","27.6730528800403","30.6095649718548","27.0067121198065","27.555883690605","27.2598874000725","30.159981413798","30.3118513539112","26.4881192853388","28.4382596416855","26.1098528462018","29.4884040340242","27.677078099653","29.1630489965725","31.4906467314515","23.7192558288064","25.9897581778145","26.552744416266","27.832554085169","24.9649171645806","25.8208197317097"
"t_max","4","27.5770368195082","26.4495369465918","25.6163767241583","30.1844786835332","26.0141852570498","31.0932386781","24.8823147836833","27.32721618655","28.551593907667","29.0255007171583","29.8012576802082","30.8899129994748","27.3738196818082","29.10134811415","30.6999318439915","28.4962371063502","28.39477612825","26.8047770437335","24.8977201080333","29.5516857910668","25.6206707764168","28.771024856525","29.6664203643997","27.45210197445","26.1734235128748","26.5713606262833","27.6102686309417","28.7252211761915","30.7671227518003","24.6485146840833","25.1478947194668","29.750367482525","26.913631998575","27.0701248425248","23.4289004261834","25.8186506653167","25.2921699016333","31.9240606943917","26.5413837942417","27.4113654074168","29.3622595468335","26.1883630371165","30.7603980764333","23.1881109110334","27.1232762654918","31.6774959819915","29.0516140493582","26.491615066675","24.2751488749166","27.8743904368082","28.2276063283918","30.0670913443665","29.5860794322418","24.2459259541834","22.46815625515","33.0516388194165","26.1982222238335","23.499550323475","23.4900543467083","25.5510570525918","30.0169759115583","27.9702447256835","30.1880019888168","25.4542758941333","24.5425491078833","24.8898240407249","29.2012973532165","28.1936645254585","27.8610204315165","28.7872031401915","30.156839650458","30.759020563975","27.7764990234502","29.2240186311165","26.9044835917582","27.34383661915","25.5491196949165","27.4941808321","29.2389537300582","26.100306574525","25.1129045869583","31.6048986307915","31.0869006602162","27.3550316875915","30.740058008817","27.3347734324167","28.0264018758665","27.0009019215083","31.1925041453418","29.8114389546585","26.9313642122","28.4718346914168","26.6017070516","28.7885611214833","28.3897174072168","29.0724598439412","31.1200931803997","23.6830997213166","26.5389407094333","26.7152689108085","27.9886021423752","25.2715520985082","26.1423759714835"
"t_max","5","28.8716785556372","27.550526526742","26.0652108470323","30.4740212716132","27.1981288786695","31.4436273391367","25.632775927992","28.5594768895565","29.6352503377178","28.1580084278065","29.6783815692745","31.317121148911","28.8108436584033","30.1416424659595","29.7751439495322","29.2713675714677","29.0773359235887","27.8350098641213","25.4894733552662","28.932473361097","26.162826292016","30.0944830124675","31.399888758589","28.9660515816372","26.8052469069353","28.0340597584598","29.2876327514835","29.915688816145","32.6346811355725","25.5858458488388","25.865707914266","30.3866613818383","27.4382109118467","27.6605300410808","24.1466106537984","26.4660453795725","26.4097541070645","33.7870344101048","27.6637556013793","29.192521323","30.6732409569513","27.4732559203867","32.6647905411775","24.1173104564838","27.6040438252903","31.9409861164597","29.514324803573","27.7403338279032","24.9872511339356","28.130267038508","29.2849013545323","30.610810581387","30.2746599506048","24.8044093964758","22.8321798755887","33.8581533124922","26.6195813334275","24.1143225640242","24.3819093274032","26.1821562490888","29.1728905463627","29.3197783192257","29.2999191039675","26.4322038959115","25.0849399197985","25.5008760268547","30.49086840221","29.4127220154112","29.2866292401852","29.2306791488793","31.7271459272663","32.4068065273225","28.287680398274","30.409427298234","27.072292598621","28.8175329885725","26.3665244318628","28.692826400266","29.3755787758225","27.1016122142582","26.1481146536695","31.6345659073065","30.7191020350807","28.76612408554","32.7313669266533","28.6094135162177","29.1280804295887","27.594768352081","32.1797572228713","30.6654624693225","28.530361224887","29.153657433274","27.9228285265807","30.0682935161695","29.4966783585967","29.3287804634678","30.7086103869997","24.2841653638548","27.5112785337982","27.308505864355","28.708065598976","26.2531141957902","27.6801748953228"
"t_max","6","29.8611354318","28.2474096171585","25.2793775940418","31.2362626648082","27.3918168894165","28.2827651977003","25.5792802175082","28.7735534413","30.197820917775","26.7826216378667","29.467945149875","28.39240053815","28.9023994191667","30.7084458415","28.0564491780253","30.2729745737835","29.4343229420335","28.8586298370168","25.2160050711418","27.5670254263332","25.7255456034915","30.5728307597585","30.4583228556747","29.9343905894915","26.1516044363","27.7489903259582","29.8111988320835","30.1789446004585","33.4073540752252","25.7433149719418","25.4882565817332","30.1948744203668","26.2584575654667","27.0013326008752","23.8574329884916","26.1076973216582","25.795019378775","32.8497007498163","27.674293925","30.0517600761247","30.3237885030415","27.232391357425","33.697374496425","23.9849877675167","28.0278146363082","30.9900405119917","29.8076165518917","28.0964553323915","24.9231252035501","26.7620895385335","29.032096964625","30.3554600524832","30.3613868457997","24.6001824698583","22.0796812439417","32.4898471069327","25.8352038574668","23.8159582264333","24.1451274618083","25.6954931385335","27.4172406516","29.5025232696747","26.4920951081082","26.4040123496167","24.8780780285666","24.5095861815834","31.196123529992","29.5431844584165","29.8211292266667","29.9027113597497","32.7150470988168","33.5267993926667","27.3851174673832","31.55407936095","27.305240961875","29.3078126526665","26.4651884716583","28.893244781467","29.8673111216082","27.9337905374835","26.1053193156332","30.8887566121835","28.1764769745667","30.0493926494082","33.48639818845","28.96643956495","29.7138535818835","26.6562553659915","31.4815647380083","31.7055749004585","28.6844317882083","29.9123424783832","28.7609686536415","30.9923645526667","29.4478413136","29.7632764943167","28.708582661942","24.1411599733167","27.3819438171665","26.3361341603917","29.2044277447253","26.2513358052997","28.1075902812"
"t_max","7","30.379941805032","28.7344746989515","24.6137987199274","31.5117883989837","28.0295924771938","26.2702136625565","26.156602822734","29.1013108283952","30.316214087976","26.139655058008","29.2889998406047","26.5366976829757","29.2974884034675","30.9145451207903","27.2305480464515","30.8738818508065","29.5620916550808","29.249058704879","25.7550556060242","26.7904323209032","26.1859672054435","30.980274298992","30.2588824365645","30.545353797226","26.420291014629","28.3930380789755","30.64281446404","30.8962515553548","33.76763837275","26.4177358565807","26.0901714940402","29.9789204996608","26.3916210790405","27.4359925548145","24.4341878585","26.6104171753872","26.2733109259515","32.8715650495802","27.8851341740485","30.4624640435325","30.750430371766","27.7908058658793","34.3294123494598","24.5826873780081","28.185399603024","29.9770500674678","29.9839307476938","28.7076572541047","25.6289339619438","26.9846948685728","29.4753262674272","30.1130975785402","30.3221228322498","25.1100323830243","22.4769213768226","31.285187751871","26.2863482321775","24.3683740431613","24.7783846208226","26.2308258057177","26.3719279136692","29.653821563879","24.6434602799839","26.8875184583307","25.4031980206452","24.7606247439355","31.441559059379","30.269290161218","30.4716265527822","30.135924406992","33.3066849739358","34.1091763158148","27.8738988568792","32.018994755911","27.5324864788547","29.949630884976","27.1294249256938","29.4019743888225","30.065659135484","28.386684147153","26.6436921149595","30.2891887296693","26.7313993147177","30.5202889718867","34.1002530005803","29.6248533925243","29.8813201659835","25.7858325098467","31.836727216226","32.094684945524","29.194343690008","30.3073068189275","29.1656319895323","31.3524492325","29.7878986973225","30.218890996137","27.4400725333952","24.766135554121","27.7974743504515","26.7581757084355","29.5216087342902","26.7254821778227","28.697010557032"
"t_max","8","30.7506567677825","28.4045377914517","24.673449706992","31.275651501016","29.7632385501935","25.5553351371772","28.3315892127178","30.9162517424435","29.794087563734","26.1033792803065","29.0590747957822","25.9785474715888","30.0898778853548","30.4600912770645","27.212173855855","30.641108900468","29.417482782016","28.6731765502503","28.2533897891127","26.7760310511533","28.7204626021773","30.857686122758","30.3177749635405","30.984568171339","28.740339931484","30.9586672876047","31.9112718642742","32.1647190955965","34.4974431190725","28.336351062508","28.606537283734","29.80399014875","28.9946520406693","29.9869649087822","27.0894511562178","29.2055416230568","29.1212644024918","33.4859328977255","28.2759604176932","31.1011599632095","32.1317830239918","30.088080326258","34.8657522632902","27.1115619044677","27.3536516742825","30.1879616029675","29.9500078510488","29.7898706990163","28.0791131296775","29.7232842231533","31.2876646227017","30.266929011137","30.0549782045968","27.4898619128385","24.7877571843629","31.5935879615885","29.0280988877902","26.9863213077903","27.5347944690648","29.0402801760482","26.456675301871","29.4198194197013","24.6743770232097","29.1045229513225","27.7223846189437","27.0680820835","30.953329295613","31.9519951850645","31.3297991106695","29.6558805897337","33.6241967477822","34.4584288814273","30.7292860710325","32.2991222505565","27.0001546552902","30.8675450971613","29.4036826103628","30.6983608615078","29.9925829486775","27.9209434263548","28.6544454266612","30.7172828920883","26.9872649161775","30.4658139629357","34.932973381911","30.7264796841937","29.348461766403","26.3204738494435","33.6433459128952","32.115609273645","30.8649206838068","30.1227249639837","28.6696161823632","31.680320641218","30.4005219982337","29.857323972653","27.7677872933308","27.3697185147745","29.8351295227583","29.559280100097","28.7554930901775","28.8105362431772","30.1904038705245"
"t_max","9","30.1087045288497","27.3680427806832","25.618379160525","31.5689209493917","30.1836481985748","26.7096248117918","29.3139639536168","31.1928129068912","29.5964136251915","26.922483113675","29.3979537202333","27.3670517731915","29.8804575095248","30.2978379567752","28.0782193503085","29.7886883289667","29.7694496917667","27.5118923696998","29.999896799708","27.4501011403585","30.6584199525335","30.45168490095","30.9749750265083","30.2117875417665","30.77600799575","32.260596644125","31.5179254151168","32.2104465230335","34.337864074808","28.3591009521168","30.0681185150832","30.459310150225","31.6674758911915","32.2667749534332","28.8583766427665","31.0978703053835","31.2608858745085","34.2019945527577","27.5454926553585","30.6989474995165","32.6247486114748","31.2605121867085","34.091138712525","28.4355239105585","27.0861695608003","31.1896358745085","30.1233134714918","29.1214551289668","29.2665886940915","32.6487299092747","32.0309521992167","30.8994623310582","30.418977483225","28.9895555623915","26.9284527842165","32.981955108558","31.6054219817583","28.7765049235502","29.2032272083835","31.1876437886332","27.5142605082997","28.8229224651083","26.2281174724","29.9891726176667","29.24551966345","29.1146706390335","30.6549772136668","32.2117967988083","30.985059280292","29.3706657917415","32.7710362243753","33.8678168234162","33.5983932748332","31.6758012644918","26.9153486379167","30.5298842622085","30.4365804291083","30.7407747395668","30.4036571503","26.781043777575","29.3007662965168","31.7168919373585","28.2704153443082","29.199586308825","34.3923674011668","30.0647124989917","29.0631061046415","27.7091294099667","34.8391744995415","31.6816558075997","31.0129384613418","30.0592751058415","27.3336038207918","31.1486690522668","29.9302175394248","29.9847770436665","29.5824449666917","28.9697124228668","30.6933872223002","32.2329648843748","28.19049036665","29.789169133625","29.8496688588165"
"t_max","10","28.6443839287575","26.5625230359435","25.3041553619435","31.114371736492","28.1405138323065","28.8574510880647","27.1777276809515","28.2958190425645","28.6243612473147","28.256784697718","29.6244702001212","29.631198218629","27.9032732318548","29.3550011914033","29.4625839479275","28.76056476721","29.143435471992","26.5649252615645","28.590933572016","28.3190868746698","29.3890793094675","29.5445490191615","31.5785117367015","28.5324727212823","30.1526087854035","30.1650201366532","29.4925958204837","30.574312640895","32.737770671258","25.9554825075402","28.42496586475","30.0747595511293","31.792952777508","31.94820571425","27.0131181779275","29.8047115695243","30.156264545113","34.5114668568952","25.652944675516","29.0428811349278","31.5486377592423","29.2435213397825","32.0448369918548","26.2102448494517","26.6415784284677","31.606071078524","29.524128427766","26.8917519846293","27.0191272613147","33.2751578793067","30.139469762073","30.460931298016","29.807889212508","27.238359192911","26.4623385029113","33.3262857498875","31.4916110869518","27.259935268355","27.1742117850965","30.2295722716127","28.7340580600725","27.4808810080647","28.0301329827908","27.5597703748465","27.5925304290163","28.3779803616452","29.536541846524","30.3650101446775","29.3501976505485","28.533691578621","31.0751522680968","32.0156508415077","33.881818931339","30.0108853248465","26.311427110274","28.7592102049435","28.140518631508","28.9600446887095","30.1308206620402","25.9989961440645","27.3629937943145","31.8647742734032","29.7247139224597","27.7197925199112","32.3107028347905","27.9501512343148","28.0229621642338","27.5150101448068","33.9321366095725","30.3425075901292","28.7459524832255","29.1729883502577","26.182215093863","29.7727288277985","28.1462532042662","29.4847256814198","30.951323847726","27.0055333046532","28.3477670485565","32.5211046280883","27.707390643758","27.490724354379","27.2064587745645"
