"year","month","mw_00001","mw_00002","mw_00003"
1982,1,18.4655938870968,18.4320321612903,18.1367067741936
1982,2,19.45780375,19.7946571071429,19.8501273928571
1982,3,21.3791199032258,21.3842542903226,21.0728879032258
1982,4,18.7720975333333,18.6885245333333,18.4953647666667
1982,5,18.0291043225806,18.0193249354839,17.8613731612903
1982,6,17.3445486333333,17.3968590666667,17.3623737
1982,7,16.6247498387097,17.1501408709677,17.5409659677419
1982,8,18.5651198709677,18.7000480967742,18.7468087419355
1982,9,21.6669152,21.7616569333333,21.6819166333333
1982,10,21.3052341935484,21.4448048064516,21.3898362258065
1982,11,21.6362809,21.6118048,21.3585164333333
1982,12,22.3670040322581,21.9932931935484,21.2811609677419
1983,1,21.7439988064516,21.5685369032258,21.0592299354839
1983,2,20.2945340892857,20.5090784642857,20.4138811607143
1983,3,21.7492385483871,21.6565927096774,21.2507157096774
1983,4,19.6227765666667,19.6308683333333,19.4703783333333
1983,5,18.5853588064516,18.5248980645161,18.3103136451613
1983,6,16.6023366,16.541626,16.4665897333333
1983,7,15.6939967419355,15.799512,15.8562699032258
1983,8,19.0949080967742,19.5095887741935,19.7082967096774
1983,9,22.7860287333333,22.9889261666667,23.0466996666667
1983,10,23.805665483871,23.8432148387097,23.7358358064516
1983,11,23.9340437333333,24.1292873333333,24.1514762
1983,12,19.7326991935484,19.8760545806452,19.7364700645161
1984,1,21.378814516129,21.0028788064516,20.3093146774194
1984,2,19.0465668965517,19.0238457586207,18.6491736551724
1984,3,19.6531972580645,19.7685670322581,19.6716883548387
1984,4,19.9141932,20.0666474333333,20.0853439
1984,5,17.6342707580645,17.8010698387097,17.8669778387097
1984,6,15.7777560666667,15.9899615666667,16.1049566333333
1984,7,15.7615003225806,15.9460668064516,16.0892919032258
1984,8,20.2177999677419,20.4094639354839,20.4164639032258
1984,9,23.5901593333333,23.8998812666667,24.0574214666667
1984,10,23.8466535483871,24.0726563225806,24.1148209032258
1984,11,22.0479304333333,22.1009219333333,21.8779889333333
1984,12,18.5513779032258,18.8570870322581,18.9106522580645
1985,1,21.0459235806452,21.0527457741935,20.6617271935484
1985,2,19.9420106428571,19.7926390714286,19.2444949642857
1985,3,18.5992605483871,18.8229525483871,18.8260453225806
1985,4,18.5857747666667,18.6095205666667,18.4174666
1985,5,17.8887119032258,17.9608295483871,17.9249551290323
1985,6,17.6347302666667,17.8022761,17.8848842
1985,7,17.3802649677419,17.5142543548387,17.6077233548387
1985,8,18.5858287419355,18.9790236774193,19.2416048387097
1985,9,21.2112991666667,21.3099658666667,21.26696
1985,10,22.4755029032258,22.8218372258065,22.9832085806452
1985,11,21.2398497,21.0715886,20.6025952333333
1985,12,18.4540243870968,18.6959498709677,18.6442406129032
1986,1,17.4429161290323,17.3271357741935,16.9390865483871
1986,2,19.9256411428571,19.85659275,19.5489347142857
1986,3,19.5859722903226,19.7336026774194,19.6650710322581
1986,4,18.1545257666667,18.3735904333333,18.3954207333333
1986,5,17.8767912580645,17.8513148387097,17.7346819032258
1986,6,17.1133308333333,17.4084412333333,17.5464954666667
1986,7,18.0802600967742,18.2675672258065,18.331955
1986,8,21.208961,21.2287116451613,21.1586660322581
1986,9,21.3471153666667,21.639567,21.7505157333333
1986,10,21.2233717419355,21.3911191935484,21.4765270967742
1986,11,22.3810728,22.2622500666667,21.8897636
1986,12,19.582512483871,19.1732427096774,18.4657080322581
1987,1,19.5060357096774,19.242012516129,18.6710371290323
1987,2,21.6345697857143,21.3061927142857,20.7303331071429
1987,3,21.7841004193548,21.6631865483871,21.3206181612903
1987,4,21.6331806666667,21.5320581333333,21.1371161333333
1987,5,19.1390887096774,19.3112948064516,19.2371997096774
1987,6,17.3310355,17.6007617666667,17.7627806
1987,7,19.0860384193548,19.328695483871,19.468231516129
1987,8,17.5914626774194,17.9058042580645,18.1829496129032
1987,9,21.6752723,21.7526493333333,21.7214753
1987,10,22.9240853548387,23.0195847096774,22.9751205806452
1987,11,24.1730445333333,24.2335336666667,24.0202997333333
